index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,ear_left,ear_right
73,h,1,1,582,582,1352,1352,2.433333333333333,0.21898781252465982,0.22971303794190429
74,h,1,1,627,627,1269,1269,2.466666666666667,0.21954893322132377,0.22811133254014315
75,h,1,1,627,627,1269,1269,2.5,0.21954893322132377,0.22811133254014315
76,h,1,1,627,627,1269,1269,2.533333333333333,0.22060132861698703,0.22037250517041113
77,h,1,1,627,627,1269,1269,2.566666666666667,0.20641613732881778,0.20631038861571172
78,h,1,1,627,627,1269,1269,2.6,0.21203168701090822,0.2219766472202824
79,h,1,1,627,627,1269,1269,2.6333333333333333,0.21203168701090822,0.2219766472202824
80,h,1,1,627,627,1269,1269,2.6666666666666665,0.21391903494164313,0.21260282084305762
81,h,1,1,627,627,1269,1269,2.7,0.22569072141351285,0.2219766472202824
82,h,1,1,627,627,1269,1269,2.7333333333333334,0.22569072141351285,0.2219766472202824
83,h,1,1,627,627,1269,1269,2.7666666666666666,0.22624938977445755,0.22752881021386243
84,h,1,1,627,627,1269,1269,2.8,0.22597200799430958,0.2194014070870359
85,h,1,1,698,627,1340,1269,2.8333333333333335,0.21023533249105467,0.21105235570820055
86,h,1,1,698,627,1340,1269,2.8666666666666667,0.21023533249105467,0.21105235570820055
87,h,1,1,698,627,1340,1269,2.9,0.21192714160161433,0.21247274575867114
88,h,1,1,698,627,1340,1269,2.933333333333333,0.21086452710060397,0.21249994791904672
89,h,1,1,698,627,1340,1269,2.966666666666667,0.20260827798278325,0.20106935093451156
90,h,1,1,698,627,1340,1269,3.0,0.20260827798278325,0.20106935093451156
91,h,1,1,698,627,1340,1269,3.033333333333333,0.2211751531754442,0.21788194067662453
92,h,1,1,698,627,1340,1269,3.066666666666667,0.2307854243228859,0.2110768439457571
93,h,1,1,698,627,1340,1269,3.1,0.22332621116449547,0.21759013662116627
94,h,1,1,698,627,1340,1269,3.1333333333333333,0.22332621116449547,0.21759013662116627
95,h,1,1,698,627,1340,1269,3.1666666666666665,0.22580519279542288,0.21308913559674428
96,h,1,1,698,627,1340,1269,3.2,0.21565003629312604,0.21261047589055443
97,h,1,1,698,627,1340,1269,3.2333333333333334,0.23247407967752096,0.23429854145599602
98,h,1,1,698,627,1340,1269,3.2666666666666666,0.23247407967752096,0.23429854145599602
99,h,1,1,698,627,1340,1269,3.3,0.24043627553925115,0.23412262193946945
100,h,1,1,698,556,1340,1198,3.3333333333333335,0.24276973273842206,0.24387429481147377
101,h,1,1,698,556,1340,1198,3.3666666666666667,0.24276973273842206,0.24387429481147377
103,h,1,1,627,556,1269,1198,3.433333333333333,0.2528933654530387,0.2646369578876922
104,h,1,1,627,556,1269,1198,3.466666666666667,0.2681146865444072,0.2743082873254887
105,h,1,1,627,556,1269,1198,3.5,0.2681146865444072,0.2743082873254887
106,h,1,1,627,556,1269,1198,3.533333333333333,0.2769592659950348,0.26862976888554146
107,h,1,1,627,556,1269,1198,3.566666666666667,0.2702942231020226,0.2704004025593495
108,h,1,1,627,556,1269,1198,3.6,0.2788912886846859,0.2775618756213086
109,h,1,1,627,556,1269,1198,3.6333333333333333,0.2788912886846859,0.2775618756213086
110,h,1,1,627,556,1269,1198,3.6666666666666665,0.27825150571156115,0.27827833079834413
111,h,1,1,627,556,1269,1198,3.7,0.2900638619467492,0.27181909788314046
112,h,1,1,627,556,1269,1198,3.7333333333333334,0.29463763903156104,0.2926519874466106
113,h,1,1,627,556,1269,1198,3.7666666666666666,0.29463763903156104,0.2926519874466106
114,h,1,1,627,556,1269,1198,3.8,0.30230342857567544,0.30213745885466564
115,h,1,1,627,556,1269,1198,3.8333333333333335,0.2792094705700093,0.27244040334398745
116,h,1,1,627,556,1269,1198,3.8666666666666667,0.2792094705700093,0.27244040334398745
117,h,1,1,627,556,1269,1198,3.9,0.2753299554771769,0.27207356402378563
118,h,1,1,627,556,1269,1198,3.933333333333333,0.25758326149321126,0.257478587558751
119,h,1,1,627,556,1269,1198,3.966666666666667,0.24415567419352988,0.2534005384862219
120,h,1,1,627,556,1269,1198,4.0,0.24415567419352988,0.2534005384862219
121,h,1,1,627,556,1269,1198,4.033333333333333,0.25738424704065516,0.26392360768177553
122,h,1,1,627,556,1269,1198,4.066666666666666,0.24998927661827827,0.25571753257517726
