index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,ear_left,ear_right
1,h,1,1,424,615,639,830,0.034482758620689655,0.32472313850582274,0.328629536098359
2,h,1,1,424,615,639,830,0.06896551724137931,0.3243029660565926,0.3201584699833253
3,h,1,1,424,615,639,830,0.10344827586206896,0.2950745084165038,0.3243029660565926
4,h,1,1,424,615,639,830,0.13793103448275862,0.32363704339483973,0.3233895676208201
5,h,1,1,424,615,639,830,0.1724137931034483,0.314420807094108,0.31545301328233816
6,h,1,1,424,615,639,830,0.20689655172413793,0.31008997524187976,0.3243029660565926
7,h,1,1,424,615,639,830,0.2413793103448276,0.3169928952959965,0.3286832547287362
8,h,1,1,424,615,639,830,0.27586206896551724,0.2950745084165038,0.34289198373298724
9,h,1,1,424,615,639,830,0.3103448275862069,0.3240563530633214,0.3382622556631803
10,h,1,1,424,615,639,830,0.3448275862068966,0.3243029660565926,0.35355339059327373
11,h,1,1,424,615,639,830,0.3793103448275862,0.3243029660565926,0.3286087263518562
12,h,1,1,424,615,639,830,0.41379310344827586,0.3296791159172945,0.34289198373298724
13,h,1,1,424,615,639,830,0.4482758620689655,0.32363704339483973,0.3131375182702646
14,h,1,1,424,615,639,830,0.4827586206896552,0.31506776622639476,0.3292764952306458
15,h,1,1,424,615,639,830,0.5172413793103449,0.3148052630849925,0.300869707893961
16,h,1,1,424,615,639,830,0.5517241379310345,0.3243029660565926,0.314420807094108
17,h,1,1,424,615,639,830,0.5862068965517241,0.32472313850582274,0.33892817832493316
18,h,1,1,424,615,639,830,0.6206896551724138,0.3243029660565926,0.314420807094108
19,h,1,1,424,615,639,830,0.6551724137931034,0.31506776622639476,0.3296791159172945
20,h,1,1,424,615,639,830,0.6896551724137931,0.2575139850557298,0.2650621806059892
21,h,1,1,424,615,639,830,0.7241379310344828,0.22153755014832888,0.20068786783003428
22,h,1,1,424,615,639,830,0.7586206896551724,0.22216486893567478,0.20579336121324915
23,h,1,1,424,615,639,830,0.7931034482758621,0.26587526243036186,0.24990360516317958
24,h,1,1,424,615,639,830,0.8275862068965517,0.2579416385272815,0.22857142857142856
25,h,1,1,424,615,639,830,0.8620689655172413,0.2438633847294646,0.23620967276909632
26,h,1,1,448,615,663,830,0.896551724137931,0.28986173938695553,0.2645914644170346
27,h,1,1,448,615,663,830,0.9310344827586207,0.3693085736783076,0.33765162622095446
28,h,1,1,448,615,663,830,0.9655172413793104,0.4325673986781269,0.3674881450236592
29,h,1,1,448,615,663,830,1.0,0.4472762865828275,0.3565611908657059
30,h,1,1,448,591,663,806,1.0344827586206897,0.4472762865828275,0.3676232666389155
31,h,1,1,448,591,663,806,1.0689655172413792,0.44697808191849847,0.397451729126985
32,h,1,1,448,591,663,806,1.103448275862069,0.4614959247373731,0.38275220332603865
