index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,ear_left,ear_right
1,h,1,1,899,1105,1270,1477,0.03333333333333333,0.16907839834840954,0.17101133706126198
2,h,1,1,881,1079,1327,1525,0.06666666666666667,0.21964036441228668,0.22413382610010818
3,h,1,1,881,1079,1327,1525,0.1,0.21964036441228668,0.22413382610010818
4,h,1,1,881,1079,1327,1525,0.13333333333333333,0.21964036441228668,0.22413382610010818
5,h,1,1,881,1079,1327,1525,0.16666666666666666,0.21964036441228668,0.22413382610010818
6,h,1,1,930,1079,1376,1525,0.2,0.2614061257133342,0.2648390942904071
7,h,1,1,930,1079,1376,1525,0.23333333333333334,0.2614061257133342,0.2648390942904071
8,h,1,1,930,1029,1376,1475,0.26666666666666666,0.253592768691667,0.2361103151057988
9,h,1,1,930,1029,1376,1475,0.3,0.264025044182033,0.25
10,h,1,1,930,1029,1376,1475,0.3333333333333333,0.2466447470019092,0.2435782230583554
11,h,1,1,930,1029,1376,1475,0.36666666666666664,0.2466447470019092,0.2435782230583554
12,h,1,1,930,1029,1376,1475,0.4,0.2466447470019092,0.2435782230583554
13,h,1,1,930,1029,1376,1475,0.43333333333333335,0.2466447470019092,0.2435782230583554
14,h,1,1,930,1029,1376,1475,0.4666666666666667,0.2636434486841375,0.25671640257534606
15,h,1,1,930,1029,1376,1475,0.5,0.2636434486841375,0.25671640257534606
16,h,1,1,940,1023,1312,1394,0.5333333333333333,0.2031061871806241,0.17794279621011055
17,h,1,1,881,980,1327,1426,0.5666666666666667,0.1697536796005734,0.16970400332473917
18,h,1,1,881,980,1327,1426,0.6,0.25016862486549635,0.2355470641744163
19,h,1,1,881,980,1327,1426,0.6333333333333333,0.25016862486549635,0.2355470641744163
20,h,1,1,881,980,1327,1426,0.6666666666666666,0.23372239000497524,0.23507532074511378
21,h,1,1,831,980,1277,1426,0.7,0.26621131724631253,0.2662422358151686
22,h,1,1,831,980,1277,1426,0.7333333333333333,0.26621131724631253,0.2662422358151686
23,h,1,1,831,980,1277,1426,0.7666666666666667,0.2987568269181116,0.3143062894948649
24,h,1,1,831,930,1277,1376,0.8,0.2606071773010047,0.2596849870653985
25,h,1,1,831,930,1277,1376,0.8333333333333334,0.24469512553534953,0.24245743199918196
26,h,1,1,831,930,1277,1376,0.8666666666666667,0.24469512553534953,0.24245743199918196
27,h,1,1,831,930,1277,1376,0.9,0.24469512553534953,0.24245743199918196
28,h,1,1,831,930,1277,1376,0.9333333333333333,0.24469512553534953,0.24245743199918196
29,h,1,1,831,930,1277,1376,0.9666666666666667,0.2609528224072597,0.2638118409555054
30,h,1,1,831,930,1277,1376,1.0,0.2609528224072597,0.2638118409555054
31,h,1,1,760,938,1295,1473,1.0333333333333334,0.2685612342218423,0.2696845001044366
32,h,1,1,760,938,1295,1473,1.0666666666666667,0.28919812688152147,0.3046377184094789
33,h,1,1,760,938,1295,1473,1.1,0.29534087394989567,0.32027601751003665
34,h,1,1,760,938,1295,1473,1.1333333333333333,0.29534087394989567,0.32027601751003665
35,h,1,1,760,938,1295,1473,1.1666666666666667,0.2954051646753134,0.3211748253339456
36,h,1,1,760,938,1295,1473,1.2,0.29091084529959466,0.2895873121373192
37,h,1,1,760,938,1295,1473,1.2333333333333334,0.29091084529959466,0.2895873121373192
38,h,1,1,760,938,1295,1473,1.2666666666666666,0.2625942429405142,0.24282146558931605
39,h,1,1,760,938,1295,1473,1.3,0.2847266782377977,0.26922008698197464
40,h,1,1,760,938,1295,1473,1.3333333333333333,0.25919437989735206,0.23923566684866998
41,h,1,1,760,938,1295,1473,1.3666666666666667,0.25919437989735206,0.23923566684866998
42,h,1,1,831,930,1277,1376,1.4,0.2809189123857039,0.27904517158807957
43,h,1,1,831,930,1277,1376,1.4333333333333333,0.2809189123857039,0.27904517158807957
44,h,1,1,831,930,1277,1376,1.4666666666666666,0.2809189123857039,0.27904517158807957
45,h,1,1,831,930,1277,1376,1.5,0.2809189123857039,0.27904517158807957
46,h,1,1,831,980,1277,1426,1.5333333333333334,0.31112220263731233,0.3337982713565891
47,h,1,1,831,980,1277,1426,1.5666666666666667,0.25901908026183584,0.2590977754083615
48,h,1,1,831,980,1277,1426,1.6,0.3462187730775535,0.35891291105915446
49,h,1,1,831,980,1277,1426,1.6333333333333333,0.3462187730775535,0.35891291105915446
50,h,1,1,831,980,1277,1426,1.6666666666666667,0.3279980274857523,0.3355626313986764
51,h,1,1,831,980,1277,1426,1.7,0.3279980274857523,0.3355626313986764
52,h,1,1,831,980,1277,1426,1.7333333333333334,0.3279980274857523,0.3355626313986764
53,h,1,1,831,980,1277,1426,1.7666666666666666,0.3279980274857523,0.3355626313986764
54,h,1,1,831,980,1277,1426,1.8,0.3446237957042862,0.3260160140796381
55,h,1,1,831,980,1277,1426,1.8333333333333333,0.3297413211033388,0.3318996230217504
56,h,1,1,831,980,1277,1426,1.8666666666666667,0.3297413211033388,0.3318996230217504
57,h,1,1,831,980,1277,1426,1.9,0.36032509692462295,0.3637764186985898
58,h,1,1,831,980,1277,1426,1.9333333333333333,0.29412244523539605,0.310683586328295
59,h,1,1,831,980,1277,1426,1.9666666666666666,0.29412244523539605,0.310683586328295
60,h,1,1,831,980,1277,1426,2.0,0.29412244523539605,0.310683586328295
61,h,1,1,831,980,1277,1426,2.033333333333333,0.29412244523539605,0.310683586328295
62,h,1,1,820,938,1354,1473,2.066666666666667,0.24738097145900262,0.26515554187334145
63,h,1,1,820,938,1354,1473,2.1,0.2841354365421252,0.27095435679034957
64,h,1,1,820,938,1354,1473,2.1333333333333333,0.2841354365421252,0.27095435679034957
65,h,1,1,820,938,1354,1473,2.1666666666666665,0.21687077328882176,0.21302807950874483
66,h,1,1,820,938,1354,1473,2.2,0.19374754129045754,0.19058689082779395
67,h,1,1,820,938,1354,1473,2.2333333333333334,0.19374754129045754,0.19058689082779395
68,h,1,1,881,980,1327,1426,2.2666666666666666,0.3132092619466503,0.32861607696859274
69,h,1,1,881,980,1327,1426,2.3,0.3132092619466503,0.32861607696859274
70,h,1,1,881,980,1327,1426,2.3333333333333335,0.3132092619466503,0.32861607696859274
71,h,1,1,881,980,1327,1426,2.3666666666666667,0.3132092619466503,0.32861607696859274
72,h,1,1,881,980,1327,1426,2.4,0.23345479933280788,0.23608834134288118
73,h,1,1,881,980,1327,1426,2.433333333333333,0.30830197256271547,0.3099007764738636
74,h,1,1,881,980,1327,1426,2.466666666666667,0.27246248890491703,0.27696833031371193
75,h,1,1,881,980,1327,1426,2.5,0.27246248890491703,0.27696833031371193
76,h,1,1,881,980,1327,1426,2.533333333333333,0.2598407539317733,0.2739039728488363
77,h,1,1,881,980,1327,1426,2.566666666666667,0.26443027747878944,0.2638847320359609
78,h,1,1,881,980,1327,1426,2.6,0.2666764372235718,0.2925498714086988
79,h,1,1,881,980,1327,1426,2.6333333333333333,0.2666764372235718,0.2925498714086988
80,h,1,1,881,980,1327,1426,2.6666666666666665,0.2666764372235718,0.2925498714086988
81,h,1,1,881,980,1327,1426,2.7,0.2666764372235718,0.2925498714086988
82,h,1,1,881,980,1327,1426,2.7333333333333334,0.2666764372235718,0.2925498714086988
83,h,1,1,881,980,1327,1426,2.7666666666666666,0.25162128396741584,0.24911570546642858
84,h,1,1,881,980,1327,1426,2.8,0.2726722658663807,0.275292802805592
85,h,1,1,881,980,1327,1426,2.8333333333333335,0.2637637899807166,0.2826472440242711
86,h,1,1,881,980,1327,1426,2.8666666666666667,0.2637637899807166,0.2826472440242711
87,h,1,1,881,980,1327,1426,2.9,0.292524447784599,0.30974274570205684
88,h,1,1,881,980,1327,1426,2.933333333333333,0.2570272537179087,0.27865948353700576
89,h,1,1,881,980,1327,1426,2.966666666666667,0.2570272537179087,0.27865948353700576
90,h,1,1,881,980,1327,1426,3.0,0.2570272537179087,0.27865948353700576
91,h,1,1,881,980,1327,1426,3.033333333333333,0.2570272537179087,0.27865948353700576
92,h,1,1,881,980,1327,1426,3.066666666666667,0.2798978829598215,0.28958149517537957
93,h,1,1,831,980,1277,1426,3.1,0.29210252387968616,0.3139358376012367
94,h,1,1,831,980,1277,1426,3.1333333333333333,0.29210252387968616,0.3139358376012367
95,h,1,1,831,980,1277,1426,3.1666666666666665,0.2662422358151686,0.27822886396730634
96,h,1,1,831,980,1277,1426,3.2,0.26707389803142584,0.2684054120119322
97,h,1,1,831,980,1277,1426,3.2333333333333334,0.28754596133829274,0.2971887748270646
98,h,1,1,831,980,1277,1426,3.2666666666666666,0.28754596133829274,0.2971887748270646
