index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,ear_left,ear_right
1,h,2,1,520,591,735,806,0.034482758620689655,0.4233700571923388,0.3286832547287362
2,h,2,1,520,567,735,782,0.06896551724137931,0.3941669224625527,0.3527886192227128
3,h,2,1,520,567,735,782,0.10344827586206896,0.4341420323155694,0.35714285714285715
4,h,2,1,520,567,735,782,0.13793103448275862,0.44207968842936335,0.3674881450236592
5,h,2,1,520,567,735,782,0.1724137931034483,0.43172241883816864,0.34708834050441606
6,h,2,1,520,567,735,782,0.20689655172413793,0.43172241883816864,0.38218767082460553
7,h,2,1,520,567,735,782,0.2413793103448276,0.4228776255631292,0.347665820237496
8,h,2,1,520,567,735,782,0.27586206896551724,0.41385372972221834,0.34294570236336447
9,h,2,1,520,567,735,782,0.3103448275862069,0.41979540626728257,0.3422987432310777
10,h,2,1,520,567,735,782,0.3448275862068966,0.4022619465041683,0.3422987432310777
11,h,2,1,520,567,735,782,0.3793103448275862,0.41395642428356677,0.3387558788642678
12,h,2,1,520,567,735,782,0.41379310344827586,0.43537519558141335,0.3569971737359624
13,h,2,1,520,567,735,782,0.4482758620689655,0.40178595604950834,0.32843739983708536
14,h,2,1,520,567,735,782,0.4827586206896552,0.41673275348344274,0.3382352941176471
15,h,2,1,520,567,735,782,0.5172413793103449,0.4398859119012947,0.3476215349808545
16,h,2,1,520,567,735,782,0.5517241379310345,0.38402837477088825,0.3387005140059033
17,h,2,1,520,567,735,782,0.5862068965517241,0.38402837477088825,0.32843739983708536
18,h,2,1,520,567,735,782,0.6206896551724138,0.39935939536286397,0.3296791159172945
19,h,2,1,520,591,735,806,0.6551724137931034,0.416273343199619,0.32843739983708536
20,h,2,1,520,591,735,806,0.6896551724137931,0.41849490471766726,0.3198987529971427
21,h,2,1,520,567,735,782,0.7241379310344828,0.4341420323155694,0.3569971737359624
22,h,2,1,520,591,735,806,0.7586206896551724,0.38832084693075425,0.3141575128876469
23,h,2,1,520,591,735,806,0.7931034482758621,0.30091213723418164,0.2293672247984458
24,h,2,1,520,591,735,806,0.8275862068965517,0.22238631757013444,0.20068786783003428
25,h,2,1,520,591,735,806,0.8620689655172413,0.28578890892957864,0.2068380243473825
26,h,2,1,520,591,735,806,0.896551724137931,0.30496532313366387,0.2293672247984458
27,h,2,1,520,591,735,806,0.9310344827586207,0.368020093404202,0.29411764705882354
28,h,2,1,520,591,735,806,0.9655172413793104,0.42241882437464834,0.34271728678652386
29,h,2,1,520,591,735,806,1.0,0.4054725639408389,0.31493372881696086
30,h,2,1,520,591,735,806,1.0344827586206897,0.37753325270566257,0.3142857142857143
31,h,2,1,520,591,735,806,1.0689655172413792,0.41080059221944276,0.34285714285714286
32,h,2,1,520,591,735,806,1.103448275862069,0.3976426261351493,0.3382352941176471
33,h,2,1,520,591,735,806,1.1379310344827587,0.4057122469354274,0.3527886192227128
34,h,2,1,496,591,711,806,1.1724137931034482,0.3979052383673543,0.3148052630849925
35,h,2,1,496,591,711,806,1.206896551724138,0.3949096547385113,0.32052852420430744
36,h,2,1,496,591,711,806,1.2413793103448276,0.3812715686104642,0.32921944310267515
37,h,2,1,496,591,711,806,1.2758620689655173,0.3540849169128155,0.32921944310267515
38,h,2,1,496,591,711,806,1.3103448275862069,0.3949096547385113,0.34285714285714286
39,h,2,1,496,591,711,806,1.3448275862068966,0.38380365552345197,0.3142857142857143
40,h,2,1,496,591,711,806,1.3793103448275863,0.38332358552871193,0.34285714285714286
41,h,2,1,496,591,711,806,1.4137931034482758,0.3677230217860117,0.3142857142857143
42,h,2,1,496,591,711,806,1.4482758620689655,0.3795163364967689,0.3291656368398899
43,h,2,1,496,591,711,806,1.4827586206896552,0.3976426261351493,0.32921944310267515
44,h,2,1,496,591,711,806,1.5172413793103448,0.3815417337565391,0.3382352941176471
45,h,2,1,496,591,711,806,1.5517241379310345,0.3795163364967689,0.32857142857142857
46,h,2,1,496,591,711,806,1.5862068965517242,0.3654408413779288,0.3094906031939303
47,h,2,1,496,591,711,806,1.6206896551724137,0.3979625954295134,0.35294117647058826
48,h,2,1,496,591,711,806,1.6551724137931034,0.3677230217860117,0.3290313657199489
49,h,2,1,496,591,711,806,1.6896551724137931,0.3654408413779288,0.3387558788642678
50,h,2,1,496,591,711,806,1.7241379310344827,0.3697685259293067,0.31493372881696086
51,h,2,1,496,591,711,806,1.7586206896551724,0.3793357725589685,0.32921944310267515
52,h,2,1,496,591,711,806,1.793103448275862,0.3941669224625527,0.3535528614528279
53,h,2,1,496,591,711,806,1.8275862068965518,0.38332358552871193,0.3577370654113185
54,h,2,1,496,591,711,806,1.8620689655172413,0.3817662509529653,0.3535528614528279
55,h,2,1,496,591,711,806,1.896551724137931,0.39561722887537915,0.33890236789981265
56,h,2,1,496,591,711,806,1.9310344827586208,0.38528604439821595,0.3388469790998867
57,h,2,1,496,591,711,806,1.9655172413793103,0.3979625954295134,0.33890236789981265
58,h,2,1,496,591,711,806,2.0,0.41080059221944276,0.3527886192227128
59,h,2,1,496,591,711,806,2.0344827586206895,0.3717419012155451,0.33890236789981265
60,h,2,1,496,591,711,806,2.0689655172413794,0.37954721199427904,0.3235294117647059
61,h,2,1,496,591,711,806,2.103448275862069,0.41190810971622416,0.32857142857142857
62,h,2,1,496,591,711,806,2.1379310344827585,0.37731037529919836,0.3141575128876469
63,h,2,1,496,591,711,806,2.1724137931034484,0.37731037529919836,0.3382352941176471
64,h,2,1,496,591,711,806,2.206896551724138,0.4085593915499162,0.3233895676208201
65,h,2,1,496,591,711,806,2.2413793103448274,0.3941669224625527,0.3142857142857143
66,h,2,1,496,591,711,806,2.2758620689655173,0.4036351673412597,0.34285714285714286
67,h,2,1,496,591,711,806,2.310344827586207,0.40444313908572377,0.32843739983708536
68,h,2,1,496,591,711,806,2.3448275862068964,0.41780424154884693,0.34285714285714286
69,h,2,1,496,591,711,806,2.3793103448275863,0.45746661471936867,0.37142857142857144
70,h,2,1,496,591,711,806,2.413793103448276,0.42080723498060296,0.34271728678652386
71,h,2,1,496,591,711,806,2.4482758620689653,0.4386165221334572,0.35714285714285715
72,h,2,1,520,591,735,806,2.4827586206896552,0.451761813168684,0.3569971737359624
73,h,2,1,520,591,735,806,2.5172413793103448,0.45718776074247874,0.35714285714285715
74,h,2,1,496,591,711,806,2.5517241379310347,0.2939660893178147,0.2507060738831282
75,h,2,1,496,591,711,806,2.586206896551724,0.22466314254191863,0.20093325761132189
76,h,2,1,496,591,711,806,2.6206896551724137,0.24511344586694858,0.17859605741487666
77,h,2,1,496,591,711,806,2.6551724137931036,0.2983094248805669,0.23610757219256523
78,h,2,1,496,591,711,806,2.689655172413793,0.31050369369538894,0.2809597170479163
79,h,2,1,496,591,711,806,2.7241379310344827,0.37731037529919836,0.3333333333333333
80,h,2,1,496,591,711,806,2.7586206896551726,0.3517559544930237,0.3333333333333333
81,h,2,1,496,591,711,806,2.793103448275862,0.3517559544930237,0.3248635593290371
82,h,2,1,496,591,711,806,2.8275862068965516,0.36004080977180336,0.3387005140059033
83,h,2,1,496,591,711,806,2.8620689655172415,0.34311343675598,0.3233895676208201
84,h,2,1,496,591,711,806,2.896551724137931,0.34366060837164597,0.3347079096117352
85,h,2,1,496,591,711,806,2.9310344827586206,0.35318871448736455,0.3331803930484605
86,h,2,1,496,591,711,806,2.9655172413793105,0.35391694173046495,0.3180358297280759
87,h,2,1,496,591,711,806,3.0,0.35915879948231655,0.3180358297280759
88,h,2,1,496,591,711,806,3.0344827586206895,0.3746569905929871,0.34358227615493336
89,h,2,1,496,591,711,806,3.0689655172413794,0.35794805122752066,0.3331803930484605
90,h,2,1,496,591,711,806,3.103448275862069,0.3634069511190676,0.3484848484848485
91,h,2,1,496,591,711,806,3.1379310344827585,0.34726061734001623,0.34832495636884503
92,h,2,1,496,591,711,806,3.1724137931034484,0.3425021055522029,0.3331803930484605
93,h,2,1,496,591,711,806,3.206896551724138,0.34726061734001623,0.3331803930484605
94,h,2,1,496,591,711,806,3.2413793103448274,0.36161974412614506,0.3233895676208201
95,h,2,1,496,591,711,806,3.2758620689655173,0.34726061734001623,0.3331803930484605
96,h,2,1,496,591,711,806,3.310344827586207,0.3436722474219124,0.3331803930484605
97,h,2,1,496,591,711,806,3.3448275862068964,0.3255911782966722,0.33402062147253425
98,h,2,1,496,591,711,806,3.3793103448275863,0.3417404166879298,0.3347079096117352
99,h,2,1,496,591,711,806,3.413793103448276,0.3255911782966722,0.3382352941176471
100,h,2,1,496,591,711,806,3.4482758620689653,0.3270677596911372,0.33386736584553
101,h,2,1,496,591,711,806,3.4827586206896552,0.36225405963091123,0.3682118354471367
102,h,2,1,496,591,711,806,3.5172413793103448,0.3693085736783076,0.3484848484848485
103,h,2,1,496,591,711,806,3.5517241379310347,0.33744820627872874,0.34832495636884503
104,h,2,1,496,591,711,806,3.586206896551724,0.3693085736783076,0.3484848484848485
105,h,2,1,496,591,711,806,3.6206896551724137,0.37178876091871293,0.3491721366240494
106,h,2,1,496,591,711,806,3.6551724137931036,0.38717720629683594,0.3527886192227128
107,h,2,1,496,591,711,806,3.689655172413793,0.3693085736783076,0.3484848484848485
108,h,2,1,496,591,711,806,3.7241379310344827,0.35659986194397436,0.36409945142153427
109,h,2,1,496,591,711,806,3.7586206896551726,0.35794805122752066,0.36346951968922964
110,h,2,1,496,591,711,806,3.793103448275862,0.3888488834670793,0.3527886192227128
111,h,2,1,496,591,711,806,3.8275862068965516,0.3733939969028385,0.35340003980684964
112,h,2,1,496,591,711,806,3.8620689655172415,0.37274910033523195,0.36346951968922964
113,h,2,1,496,591,711,806,3.896551724137931,0.3485031187898931,0.3333333333333333
114,h,2,1,496,591,711,806,3.9310344827586206,0.3156277919065655,0.29774039278339715
115,h,2,1,496,591,711,806,3.9655172413793105,0.28187643214586644,0.28858548681883717
116,h,2,1,496,567,711,782,4.0,0.35333481042363707,0.33892817832493316
117,h,2,1,520,567,735,782,4.0344827586206895,0.3841216032840237,0.33271698991715354
118,h,2,1,520,567,735,782,4.068965517241379,0.40495984300380916,0.3334771393884694
119,h,2,1,520,567,735,782,4.103448275862069,0.4152809596124853,0.3733939969028385
120,h,2,1,520,567,735,782,4.137931034482759,0.4152809596124853,0.34929089134636715
121,h,2,1,520,567,735,782,4.172413793103448,0.4349209149197348,0.31823756039879564
122,h,2,1,520,567,735,782,4.206896551724138,0.432084874361381,0.33497501179614525
123,h,2,1,520,567,735,782,4.241379310344827,0.4332681810852911,0.33093089961978434
124,h,2,1,520,567,735,782,4.275862068965517,0.3967317699749346,0.2853363118190691
125,h,2,1,520,567,735,782,4.310344827586207,0.38225899420680143,0.2734057488142358
126,h,2,1,520,543,735,758,4.344827586206897,0.4732275727667638,0.37756842774019905
130,h,2,1,520,543,735,758,4.482758620689655,0.4718503289333444,0.34617216023781683
131,h,2,1,520,567,735,782,4.517241379310345,0.4263622002801183,0.3478770703774793
132,h,2,1,520,543,735,758,4.551724137931035,0.4772150069360991,0.3610317298281768
133,h,2,1,520,543,735,758,4.586206896551724,0.4718503289333444,0.35871697083002196
134,h,2,1,520,543,735,758,4.620689655172414,0.35020209798623747,0.27819891447546247
135,h,2,1,520,567,735,782,4.655172413793103,0.26672258921455344,0.219575339306776
136,h,2,1,520,567,735,782,4.689655172413793,0.32673613841194465,0.22407767192654982
137,h,2,1,520,567,735,782,4.724137931034483,0.3451172823236537,0.2574736721538482
138,h,2,1,496,567,711,782,4.758620689655173,0.33575600588927096,0.274880908691989
139,h,2,1,496,567,711,782,4.793103448275862,0.35793594381759813,0.27987236080611433
140,h,2,1,496,567,711,782,4.827586206896552,0.32884222049061834,0.2844475665330712
