index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,ear_left,ear_right
1,h,1,1,394,509,652,767,0.034482758620689655,0.2564102564102564,0.24987875972071394
2,h,1,1,394,509,652,767,0.06896551724137931,0.26241800718213226,0.2368348360985084
3,h,1,1,394,509,652,767,0.10344827586206896,0.26241800718213226,0.2696551322172109
4,h,1,1,394,509,652,767,0.13793103448275862,0.25670580025757184,0.25031075213505455
5,h,1,1,394,509,652,767,0.1724137931034483,0.25609756097560976,0.24421776841917756
6,h,1,1,394,509,652,767,0.20689655172413793,0.2375,0.23720368048348808
7,h,1,1,394,509,652,767,0.2413793103448276,0.2692307692307692,0.2688774478590816
8,h,1,1,394,509,652,767,0.27586206896551724,0.26241800718213226,0.2617648188457198
9,h,1,1,394,509,652,767,0.3103448275862069,0.2256923142267177,0.242872246468334
10,h,1,1,394,509,652,767,0.3448275862068966,0.2682926829268293,0.2747952349072627
11,h,1,1,394,509,652,767,0.3793103448275862,0.24382992454708538,0.24929982747211407
12,h,1,1,394,509,652,767,0.41379310344827586,0.26241800718213226,0.25694280918070694
13,h,1,1,394,509,652,767,0.4482758620689655,0.26241800718213226,0.24421776841917756
14,h,1,1,394,509,652,767,0.4827586206896552,0.2631234452640111,0.2617648188457198
15,h,1,1,394,509,652,767,0.5172413793103449,0.26241800718213226,0.2700968280615089
16,h,1,1,394,509,652,767,0.5517241379310345,0.25,0.23720368048348808
17,h,1,1,394,509,652,767,0.5862068965517241,0.2625,0.24929982747211407
18,h,1,1,394,509,652,767,0.6206896551724138,0.2564102564102564,0.2696551322172109
19,h,1,1,394,509,652,767,0.6551724137931034,0.25,0.2696551322172109
20,h,1,1,394,509,652,767,0.6896551724137931,0.25,0.2446177977919825
21,h,1,1,394,509,652,767,0.7241379310344828,0.24358974358974358,0.24390866376380577
22,h,1,1,394,509,652,767,0.7586206896551724,0.26241800718213226,0.2696551322172109
23,h,1,1,394,509,652,767,0.7931034482758621,0.25062344526401115,0.24327007187250235
24,h,1,1,394,509,652,767,0.8275862068965517,0.26241800718213226,0.2696551322172109
25,h,1,1,394,509,652,767,0.8620689655172413,0.25,0.24421776841917756
26,h,1,1,394,509,652,767,0.896551724137931,0.25116841265931783,0.23126351266359216
27,h,1,1,394,509,652,767,0.9310344827586207,0.2499219116020307,0.24421776841917756
28,h,1,1,394,509,652,767,0.9655172413793104,0.26298484278851486,0.2573509436483988
29,h,1,1,394,509,652,767,1.0,0.2630670127148408,0.25607375986579195
30,h,1,1,394,509,652,767,1.0344827586206897,0.25,0.242872246468334
31,h,1,1,394,509,652,767,1.0689655172413792,0.25609756097560976,0.26344951672566513
32,h,1,1,394,509,652,767,1.103448275862069,0.24350970752923262,0.23757831873867036
33,h,1,1,394,509,652,767,1.1379310344827587,0.2631234452640111,0.269075293683192
34,h,1,1,394,509,652,767,1.1724137931034482,0.2682129170017939,0.26951603975038496
35,h,1,1,394,509,652,767,1.206896551724138,0.2636904579788519,0.24421776841917756
36,h,1,1,394,509,652,767,1.2413793103448276,0.275,0.2700968280615089
37,h,1,1,394,509,652,767,1.2758620689655173,0.25,0.2618176136538735
38,h,1,1,394,509,652,767,1.3103448275862069,0.2499219116020307,0.23752521136761726
39,h,1,1,394,509,652,767,1.3448275862068966,0.25,0.24390866376380577
40,h,1,1,394,509,652,767,1.3793103448275863,0.2625,0.24968808471946113
41,h,1,1,394,509,652,767,1.4137931034482758,0.275,0.25693009145568146
42,h,1,1,394,509,652,767,1.4482758620689655,0.24382992454708538,0.22436984472490268
43,h,1,1,394,509,652,767,1.4827586206896552,0.2564102564102564,0.24358022083256523
44,h,1,1,394,509,652,767,1.5172413793103448,0.23819231422671772,0.22317991475726803
45,h,1,1,394,509,652,767,1.5517241379310345,0.25696522886824413,0.25060525105850484
46,h,1,1,394,509,652,767,1.5862068965517242,0.26241800718213226,0.25693009145568146
47,h,1,1,394,509,652,767,1.6206896551724137,0.2564102564102564,0.23150544538267362
48,h,1,1,394,509,652,767,1.6551724137931034,0.25,0.2435097940549463
49,h,1,1,394,509,652,767,1.6896551724137931,0.2375,0.25607375986579195
50,h,1,1,394,509,652,767,1.7241379310344827,0.25116841265931783,0.23789513093666081
51,h,1,1,394,509,652,767,1.7586206896551724,0.25,0.25607375986579195
52,h,1,1,394,509,652,767,1.793103448275862,0.26241800718213226,0.25054322584616434
53,h,1,1,394,509,652,767,1.8275862068965518,0.24382992454708538,0.24327007187250235
54,h,1,1,394,509,652,767,1.8620689655172413,0.25609756097560976,0.26951603975038496
55,h,1,1,394,509,652,767,1.896551724137931,0.2625,0.2368348360985084
56,h,1,1,394,509,652,767,1.9310344827586208,0.2625,0.25055562742916015
57,h,1,1,394,509,652,767,1.9655172413793103,0.27556701271484074,0.2617648188457198
58,h,1,1,394,509,652,767,2.0,0.27491410276223377,0.2633614616461483
59,h,1,1,394,509,652,767,2.0344827586206895,0.25,0.2499215266591392
60,h,1,1,394,509,652,767,2.0689655172413794,0.26241800718213226,0.25694280918070694
61,h,1,1,394,509,652,767,2.103448275862069,0.26241800718213226,0.2696551322172109
62,h,1,1,394,509,652,767,2.1379310344827585,0.25,0.2573509436483988
63,h,1,1,394,509,652,767,2.1724137931034484,0.24390243902439024,0.2573509436483988
64,h,1,1,394,509,652,767,2.206896551724138,0.23881575949072884,0.23188465193556623
65,h,1,1,394,509,652,767,2.2413793103448274,0.24390243902439024,0.24995102850115802
66,h,1,1,394,509,652,767,2.2758620689655173,0.2625,0.24358022083256523
67,h,1,1,394,509,652,767,2.310344827586207,0.2631234452640111,0.24421776841917756
68,h,1,1,394,509,652,767,2.3448275862068964,0.25,0.24421776841917756
69,h,1,1,394,509,652,767,2.3793103448275863,0.24382992454708538,0.24421776841917756
70,h,1,1,394,509,652,767,2.413793103448276,0.26241800718213226,0.24922453716336712
71,h,1,1,394,509,652,767,2.4482758620689653,0.2688458660632593,0.2828522917527434
72,h,1,1,394,509,652,767,2.4827586206896552,0.24390243902439024,0.24327007187250235
73,h,1,1,394,509,652,767,2.5172413793103448,0.25,0.26951603975038496
74,h,1,1,394,509,652,767,2.5517241379310347,0.2682129170017939,0.2633614616461483
75,h,1,1,394,509,652,767,2.586206896551724,0.2625,0.2556549962824568
76,h,1,1,394,509,652,767,2.6206896551724137,0.275,0.26843774609657967
77,h,1,1,394,509,652,767,2.6551724137931036,0.27556701271484074,0.2688774478590816
78,h,1,1,394,509,652,767,2.689655172413793,0.28205128205128205,0.25694280918070694
79,h,1,1,394,509,652,767,2.7241379310344827,0.2692307692307692,0.2573509436483988
80,h,1,1,394,509,652,767,2.7586206896551726,0.26241800718213226,0.24390866376380577
81,h,1,1,394,509,652,767,2.793103448275862,0.28205128205128205,0.25693009145568146
82,h,1,1,394,509,652,767,2.8275862068965516,0.275,0.26234161806670225
83,h,1,1,394,509,652,767,2.8620689655172415,0.2682926829268293,0.2556549962824568
84,h,1,1,394,509,652,767,2.896551724137931,0.25670580025757184,0.24421776841917756
85,h,1,1,394,509,652,767,2.9310344827586206,0.25609756097560976,0.24358022083256523
86,h,1,1,394,509,652,767,2.9655172413793105,0.24390243902439024,0.25693009145568146
87,h,1,1,394,509,652,767,3.0,0.2505451621306743,0.2439792059006791
88,h,1,1,394,509,652,767,3.0344827586206895,0.22562181842170992,0.24390866376380577
89,h,1,1,394,509,652,767,3.0689655172413794,0.1598514503776719,0.16210296808748975
90,h,1,1,394,509,652,767,3.103448275862069,0.16318449435914442,0.1851456291034931
91,h,1,1,394,509,652,767,3.1379310344827585,0.14190023354165915,0.19104017997521755
92,h,1,1,394,509,652,767,3.1724137931034484,0.14190023354165915,0.17561154876144724
93,h,1,1,394,509,652,767,3.206896551724138,0.1882194124748636,0.19730011566174616
94,h,1,1,394,509,652,767,3.2413793103448274,0.19993752928162456,0.20485900789263356
