index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,ear_left,ear_right
1,h,1,1,480,538,738,796,0.034482758620689655,0.296875,0.24502779914323228
2,h,1,1,480,538,738,796,0.06896551724137931,0.3390695398679186,0.22039795451658176
3,h,1,1,509,538,767,796,0.10344827586206896,0.37485497210128643,0.28064474956566166
4,h,1,1,509,538,767,796,0.13793103448275862,0.44363225398129863,0.28745485319970476
5,h,1,1,509,538,767,796,0.1724137931034483,0.422197599697417,0.2836087231308396
6,h,1,1,538,538,796,796,0.20689655172413793,0.5451104266786014,0.3246132179587962
7,h,1,1,538,566,796,824,0.2413793103448276,0.5405929555265098,0.31559098698123145
8,h,1,1,538,566,796,824,0.27586206896551724,0.5703580879782347,0.3469105071466176
9,h,1,1,538,566,796,824,0.3103448275862069,0.5735454811344248,0.33270455510735514
10,h,1,1,538,566,796,824,0.3448275862068966,0.6194193396522715,0.32919537796971454
171,h,1,1,591,615,806,830,5.896551724137931,0.441610566686291,0.3044542658386808
172,h,1,1,566,566,824,824,5.931034482758621,0.4287320023607164,0.25679803827934383
173,h,1,1,566,566,824,824,5.9655172413793105,0.38786915045683407,0.2501650167867603
174,h,1,1,566,566,824,824,6.0,0.4192645048267573,0.25203895937431203
175,h,1,1,538,566,796,824,6.0344827586206895,0.3834824944236852,0.2217701888974547
176,h,1,1,538,538,796,796,6.068965517241379,0.3601470287992686,0.27259744970571614
177,h,1,1,538,538,796,796,6.103448275862069,0.36660890037566873,0.29164109309358693
178,h,1,1,538,538,796,796,6.137931034482759,0.35063651636789894,0.24893370863929778
179,h,1,1,538,538,796,796,6.172413793103448,0.3333333333333333,0.2578606430305933
180,h,1,1,509,538,767,796,6.206896551724138,0.33314830232638476,0.2456267693084855
181,h,1,1,509,538,767,796,6.241379310344827,0.29673014758835153,0.25472565977541073
182,h,1,1,509,538,767,796,6.275862068965517,0.30751005235654527,0.2483828361508012
183,h,1,1,509,509,767,767,6.310344827586207,0.2807022876983124,0.2420637702388574
184,h,1,1,509,509,767,767,6.344827586206897,0.3126692197175142,0.27853199308944243
185,h,1,1,509,509,767,767,6.379310344827586,0.2800221260791748,0.25782621317820703
186,h,1,1,474,474,783,783,6.413793103448276,0.3224129401095805,0.2884441020371191
