index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,ear_left,ear_right
1,h,1,1,413,552,592,731,0.034482758620689655,0.21740310293409312,0.22182653804658642
2,h,1,1,400,520,615,735,0.06896551724137931,0.25,0.24723594271115096
3,h,1,1,400,520,615,735,0.10344827586206896,0.2267643415237405,0.21580763418757448
4,h,1,1,413,532,592,711,0.13793103448275862,0.24295624980769445,0.21580763418757448
5,h,1,1,413,532,592,711,0.1724137931034483,0.2570520285207643,0.2615682757289899
6,h,1,1,376,520,591,735,0.20689655172413793,0.250005843783045,0.2532803652007522
7,h,1,1,376,520,591,735,0.2413793103448276,0.2642506468818035,0.2775524884599046
8,h,1,1,376,520,591,735,0.27586206896551724,0.25782885860117427,0.24171971065938336
9,h,1,1,376,520,591,735,0.3103448275862069,0.22847819119101592,0.23362355881429978
10,h,1,1,376,496,591,711,0.3448275862068966,0.18424156460592805,0.18864844365675973
11,h,1,1,376,496,591,711,0.3793103448275862,0.25782885860117427,0.258894599393295
12,h,1,1,352,496,567,711,0.41379310344827586,0.203125,0.22203577034767538
13,h,1,1,376,496,591,711,0.4482758620689655,0.2663348570040417,0.2829596834750934
14,h,1,1,376,496,591,711,0.4827586206896552,0.2508070979935116,0.24796412413329433
15,h,1,1,376,520,591,735,0.5172413793103449,0.23529411764705882,0.25045532173628826
16,h,1,1,376,520,591,735,0.5517241379310345,0.26540559968407457,0.27622747111560575
17,h,1,1,376,520,591,735,0.5862068965517241,0.2570379650898929,0.2658892432851249
18,h,1,1,376,520,591,735,0.6206896551724138,0.292359383626679,0.30042704453669267
19,h,1,1,376,520,591,735,0.6551724137931034,0.2361111111111111,0.24700308600095894
20,h,1,1,376,520,591,735,0.6896551724137931,0.2204928870141955,0.22102457978664308
21,h,1,1,376,520,591,735,0.7241379310344828,0.22847819119101592,0.24905141714130322
22,h,1,1,376,520,591,735,0.7586206896551724,0.18273686227302205,0.15388117858282757
23,h,1,1,393,532,572,711,0.7931034482758621,0.1763943096113564,0.19236729707093225
24,h,1,1,373,552,552,731,0.8275862068965517,0.18173475984461482,0.17818401973072773
25,h,1,1,373,552,552,731,0.8620689655172413,0.19109383541230276,0.19705145453393047
26,h,1,1,352,543,567,758,0.896551724137931,0.15294524049740527,0.17395257673801665
27,h,1,1,328,520,543,735,0.9310344827586207,0.14508582304931122,0.1513144436951757
28,h,1,1,328,520,543,735,0.9655172413793104,0.140625,0.1603058624727967
29,h,1,1,328,520,543,735,1.0,0.1885184070191496,0.2031471351671074
30,h,1,1,328,496,543,711,1.0344827586206897,0.2175631046082356,0.24165525060596438
31,h,1,1,305,496,520,711,1.0689655172413792,0.23799925893254267,0.25979224926766525
32,h,1,1,305,496,520,711,1.103448275862069,0.28279142038261595,0.37177144656992456
33,h,1,1,328,496,543,711,1.1379310344827587,0.24131682211792269,0.2811964889571059
34,h,1,1,328,496,543,711,1.1724137931034482,0.299762596078615,0.33310494458892237
35,h,1,1,328,496,543,711,1.206896551724138,0.25181451662473225,0.2446660914880347
36,h,1,1,352,496,567,711,1.2413793103448276,0.25886349545339626,0.2498407135868874
37,h,1,1,393,512,572,691,1.2758620689655173,0.23502684515816877,0.2671113730486601
38,h,1,1,413,512,592,691,1.3103448275862069,0.24193548387096775,0.24243561640699005
39,h,1,1,433,512,612,691,1.3448275862068966,0.26770429580497584,0.24253562503633297
40,h,1,1,453,492,632,672,1.3793103448275863,0.3448275862068966,0.3283158443279151
41,h,1,1,448,496,663,711,1.4137931034482758,0.37037037037037035,0.3385300267213127
42,h,1,1,472,496,687,711,1.4482758620689655,0.301245154965971,0.25304857283145793
43,h,1,1,472,496,687,711,1.4827586206896552,0.27255755271454624,0.2425850964591442
44,h,1,1,472,496,687,711,1.5172413793103448,0.30875740650264266,0.2679429687242164
45,h,1,1,472,496,687,711,1.5517241379310345,0.28,0.2898113415802839
46,h,1,1,472,496,687,711,1.5862068965517242,0.3090589963820284,0.26087707407136834
47,h,1,1,448,496,663,711,1.6206896551724137,0.35,0.31132701572079186
48,h,1,1,448,496,663,711,1.6551724137931034,0.35,0.3263209177134247
49,h,1,1,448,496,663,711,1.6896551724137931,0.3342538911019798,0.3023051450157402
50,h,1,1,448,496,663,711,1.7241379310344827,0.30751005235654527,0.2878021635082181
51,h,1,1,448,496,663,711,1.7586206896551724,0.23252906583803282,0.21968426932694338
52,h,1,1,448,496,663,711,1.793103448275862,0.303932660991314,0.2736600836667154
53,h,1,1,424,496,639,711,1.8275862068965518,0.2915251014315454,0.2576218967027217
54,h,1,1,424,496,639,711,1.8620689655172413,0.22522937222648148,0.2166304020719826
55,h,1,1,424,496,639,711,1.896551724137931,0.23645821187756288,0.23362355881429978
56,h,1,1,424,496,639,711,1.9310344827586208,0.24123593087845216,0.2252346076184676
57,h,1,1,424,496,639,711,1.9655172413793103,0.25085032169761956,0.24253562503633297
58,h,1,1,433,532,612,711,2.0,0.22568905807670636,0.21280752429947425
59,h,1,1,433,532,612,711,2.0344827586206895,0.21676997647604757,0.20431842402519715
60,h,1,1,433,532,612,711,2.0689655172413794,0.25786400754028527,0.2131979971494769
61,h,1,1,424,520,639,735,2.103448275862069,0.28141231555848256,0.25923922658935994
62,h,1,1,424,520,639,735,2.1379310344827585,0.2710605947661757,0.2585190567924023
63,h,1,1,424,520,639,735,2.1724137931034484,0.223492675370175,0.22683471718524148
