index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,ear_left,ear_right
1,h,1,1,257,639,472,854,0.034482758620689655,0.32497408715117243,0.350347944635714
2,h,1,1,257,639,472,854,0.06896551724137931,0.32532970362140956,0.3737289088897922
3,h,1,1,257,639,472,854,0.10344827586206896,0.3518756318728245,0.3737289088897922
4,h,1,1,257,639,472,854,0.13793103448275862,0.33842485951199847,0.36039530368433986
5,h,1,1,257,639,472,854,0.1724137931034483,0.3518756318728245,0.36092686133580654
6,h,1,1,257,639,472,854,0.20689655172413793,0.33504864438832177,0.3711648840484904
7,h,1,1,257,639,472,854,0.2413793103448276,0.3518756318728245,0.3737289088897922
8,h,1,1,257,639,472,854,0.27586206896551724,0.326053233996838,0.3711648840484904
9,h,1,1,257,639,472,854,0.3103448275862069,0.33781032321502125,0.38535946521544645
10,h,1,1,257,639,472,854,0.3448275862068966,0.3518756318728245,0.38687486258136383
11,h,1,1,257,639,472,854,0.3793103448275862,0.3356923503504132,0.3711648840484904
12,h,1,1,257,639,472,854,0.41379310344827586,0.32497408715117243,0.3711648840484904
13,h,1,1,257,639,472,854,0.4482758620689655,0.21697830459878958,0.22847819119101592
14,h,1,1,257,639,472,854,0.4827586206896552,0.21674112656696357,0.24354897165173578
15,h,1,1,257,639,472,854,0.5172413793103449,0.2379702381688594,0.24246160978868003
16,h,1,1,222,595,480,853,0.5517241379310345,0.2609469809355896,0.2650621806059892
17,h,1,1,222,595,480,853,0.5862068965517241,0.278747195915803,0.285960301127046
18,h,1,1,222,595,480,853,0.6206896551724138,0.2919773415427495,0.29890399471252527
19,h,1,1,222,595,480,853,0.6551724137931034,0.31954455097168494,0.33753559047232357
20,h,1,1,222,595,480,853,0.6896551724137931,0.29253829756717936,0.33765162622095446
21,h,1,1,222,595,480,853,0.7241379310344828,0.29253829756717936,0.3082906152452193
22,h,1,1,222,595,480,853,0.7586206896551724,0.3063431961806135,0.3784394092411522
23,h,1,1,222,595,480,853,0.7931034482758621,0.3084282622503176,0.33759076490928686
24,h,1,1,222,595,480,853,0.8275862068965517,0.31187200218436395,0.36739611809114775
25,h,1,1,222,595,480,853,0.8620689655172413,0.31187200218436395,0.35583808894348246
26,h,1,1,222,595,480,853,0.896551724137931,0.3060675108510509,0.3668335272377759
27,h,1,1,222,595,480,853,0.9310344827586207,0.31187200218436395,0.35279387652467087
28,h,1,1,222,595,480,853,0.9655172413793104,0.33835682176223375,0.3668335272377759
29,h,1,1,222,595,480,853,1.0,0.3199510444712275,0.3517387333217247
