index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,mark_0_x,mark_0_y,mark_1_x,mark_1_y,mark_2_x,mark_2_y,mark_3_x,mark_3_y,mark_4_x,mark_4_y,mark_5_x,mark_5_y,mark_6_x,mark_6_y,mark_7_x,mark_7_y,mark_8_x,mark_8_y,mark_9_x,mark_9_y,mark_10_x,mark_10_y,mark_11_x,mark_11_y,mark_12_x,mark_12_y,mark_13_x,mark_13_y,mark_14_x,mark_14_y,mark_15_x,mark_15_y,mark_16_x,mark_16_y,mark_17_x,mark_17_y,mark_18_x,mark_18_y,mark_19_x,mark_19_y,mark_20_x,mark_20_y,mark_21_x,mark_21_y,mark_22_x,mark_22_y,mark_23_x,mark_23_y,mark_24_x,mark_24_y,mark_25_x,mark_25_y,mark_26_x,mark_26_y,mark_27_x,mark_27_y,mark_28_x,mark_28_y,mark_29_x,mark_29_y,mark_30_x,mark_30_y,mark_31_x,mark_31_y,mark_32_x,mark_32_y,mark_33_x,mark_33_y,mark_34_x,mark_34_y,mark_35_x,mark_35_y,mark_36_x,mark_36_y,mark_37_x,mark_37_y,mark_38_x,mark_38_y,mark_39_x,mark_39_y,mark_40_x,mark_40_y,mark_41_x,mark_41_y,mark_42_x,mark_42_y,mark_43_x,mark_43_y,mark_44_x,mark_44_y,mark_45_x,mark_45_y,mark_46_x,mark_46_y,mark_47_x,mark_47_y,mark_48_x,mark_48_y,mark_49_x,mark_49_y,mark_50_x,mark_50_y,mark_51_x,mark_51_y,mark_52_x,mark_52_y,mark_53_x,mark_53_y,mark_54_x,mark_54_y,mark_55_x,mark_55_y,mark_56_x,mark_56_y,mark_57_x,mark_57_y,mark_58_x,mark_58_y,mark_59_x,mark_59_y,mark_60_x,mark_60_y,mark_61_x,mark_61_y,mark_62_x,mark_62_y,mark_63_x,mark_63_y,mark_64_x,mark_64_y,mark_65_x,mark_65_y,mark_66_x,mark_66_y,mark_67_x,mark_67_y
23,h,1,1,938,1354,1473,1889,0.7666666666666667,1050,1590,1046,1635,1049,1679,1064,1724,1085,1769,1112,1813,1142,1851,1174,1885,1221,1901,1288,1899,1362,1882,1430,1848,1482,1797,1518,1734,1532,1663,1535,1593,1535,1522,1029,1495,1042,1474,1069,1467,1098,1470,1128,1483,1183,1477,1230,1456,1286,1451,1340,1462,1389,1488,1158,1529,1155,1567,1149,1605,1144,1645,1121,1678,1139,1690,1164,1696,1192,1686,1220,1676,1060,1552,1077,1538,1101,1537,1130,1549,1102,1555,1078,1557,1246,1543,1273,1529,1304,1530,1340,1539,1307,1545,1275,1547,1117,1749,1131,1733,1151,1725,1172,1730,1195,1723,1242,1731,1297,1748,1251,1774,1207,1785,1181,1785,1159,1783,1138,1771,1129,1751,1153,1748,1174,1751,1199,1749,1281,1748,1202,1757,1177,1757,1155,1754
24,h,1,1,938,1354,1473,1889,0.8,1045,1571,1042,1622,1048,1669,1064,1717,1086,1764,1114,1811,1144,1853,1174,1891,1222,1907,1290,1901,1363,1881,1430,1843,1481,1791,1514,1726,1528,1654,1534,1585,1537,1514,1030,1492,1044,1474,1069,1469,1098,1470,1126,1480,1193,1471,1239,1453,1291,1448,1343,1458,1389,1482,1163,1530,1159,1570,1153,1608,1148,1649,1126,1681,1144,1692,1168,1698,1194,1689,1220,1680,1063,1550,1081,1537,1105,1536,1130,1547,1104,1553,1081,1554,1248,1541,1273,1527,1303,1528,1338,1537,1306,1543,1275,1545,1120,1749,1134,1734,1153,1728,1174,1734,1196,1728,1243,1735,1297,1750,1252,1780,1208,1793,1184,1794,1162,1791,1142,1776,1132,1751,1155,1751,1176,1755,1200,1753,1283,1751,1203,1765,1179,1766,1158,1762
25,h,1,1,938,1354,1473,1889,0.8333333333333334,1045,1571,1042,1622,1048,1669,1064,1717,1086,1764,1114,1811,1144,1853,1174,1891,1222,1907,1290,1901,1363,1881,1430,1843,1481,1791,1514,1726,1528,1654,1534,1585,1537,1514,1030,1492,1044,1474,1069,1469,1098,1470,1126,1480,1193,1471,1239,1453,1291,1448,1343,1458,1389,1482,1163,1530,1159,1570,1153,1608,1148,1649,1126,1681,1144,1692,1168,1698,1194,1689,1220,1680,1063,1550,1081,1537,1105,1536,1130,1547,1104,1553,1081,1554,1248,1541,1273,1527,1303,1528,1338,1537,1306,1543,1275,1545,1120,1749,1134,1734,1153,1728,1174,1734,1196,1728,1243,1735,1297,1750,1252,1780,1208,1793,1184,1794,1162,1791,1142,1776,1132,1751,1155,1751,1176,1755,1200,1753,1283,1751,1203,1765,1179,1766,1158,1762
26,h,1,1,938,1354,1473,1889,0.8666666666666667,1045,1571,1042,1622,1048,1669,1064,1717,1086,1764,1114,1811,1144,1853,1174,1891,1222,1907,1290,1901,1363,1881,1430,1843,1481,1791,1514,1726,1528,1654,1534,1585,1537,1514,1030,1492,1044,1474,1069,1469,1098,1470,1126,1480,1193,1471,1239,1453,1291,1448,1343,1458,1389,1482,1163,1530,1159,1570,1153,1608,1148,1649,1126,1681,1144,1692,1168,1698,1194,1689,1220,1680,1063,1550,1081,1537,1105,1536,1130,1547,1104,1553,1081,1554,1248,1541,1273,1527,1303,1528,1338,1537,1306,1543,1275,1545,1120,1749,1134,1734,1153,1728,1174,1734,1196,1728,1243,1735,1297,1750,1252,1780,1208,1793,1184,1794,1162,1791,1142,1776,1132,1751,1155,1751,1176,1755,1200,1753,1283,1751,1203,1765,1179,1766,1158,1762
27,h,1,1,938,1354,1473,1889,0.9,1045,1571,1042,1622,1048,1669,1064,1717,1086,1764,1114,1811,1144,1853,1174,1891,1222,1907,1290,1901,1363,1881,1430,1843,1481,1791,1514,1726,1528,1654,1534,1585,1537,1514,1030,1492,1044,1474,1069,1469,1098,1470,1126,1480,1193,1471,1239,1453,1291,1448,1343,1458,1389,1482,1163,1530,1159,1570,1153,1608,1148,1649,1126,1681,1144,1692,1168,1698,1194,1689,1220,1680,1063,1550,1081,1537,1105,1536,1130,1547,1104,1553,1081,1554,1248,1541,1273,1527,1303,1528,1338,1537,1306,1543,1275,1545,1120,1749,1134,1734,1153,1728,1174,1734,1196,1728,1243,1735,1297,1750,1252,1780,1208,1793,1184,1794,1162,1791,1142,1776,1132,1751,1155,1751,1176,1755,1200,1753,1283,1751,1203,1765,1179,1766,1158,1762
35,h,1,1,998,1354,1533,1889,1.1666666666666667,1098,1553,1096,1604,1100,1656,1112,1709,1130,1762,1158,1810,1190,1850,1220,1885,1268,1901,1327,1897,1387,1873,1451,1844,1508,1802,1546,1743,1564,1675,1568,1601,1573,1525,1092,1493,1105,1472,1131,1464,1160,1469,1189,1480,1243,1475,1286,1459,1333,1455,1380,1468,1420,1488,1222,1525,1218,1563,1213,1601,1207,1642,1184,1675,1202,1685,1225,1691,1249,1684,1274,1676,1121,1543,1138,1531,1162,1530,1185,1540,1161,1546,1138,1547,1299,1537,1323,1525,1351,1527,1383,1535,1353,1543,1325,1543,1177,1753,1192,1737,1211,1728,1229,1733,1249,1728,1290,1738,1339,1756,1293,1776,1258,1785,1236,1787,1217,1785,1198,1773,1189,1754,1213,1752,1231,1754,1252,1753,1322,1756,1253,1757,1232,1758,1214,1755
38,h,1,1,1064,1394,1435,1766,1.2666666666666666,1094,1515,1093,1565,1100,1613,1110,1663,1124,1714,1144,1761,1170,1799,1200,1827,1242,1837,1294,1833,1344,1812,1390,1779,1431,1734,1461,1683,1478,1628,1486,1568,1489,1506,1094,1465,1107,1440,1136,1432,1167,1436,1197,1450,1263,1444,1300,1427,1343,1422,1385,1436,1412,1467,1229,1494,1226,1533,1222,1571,1218,1611,1192,1641,1208,1648,1228,1653,1251,1647,1274,1641,1128,1506,1143,1488,1166,1489,1188,1507,1165,1511,1142,1512,1298,1504,1318,1483,1345,1483,1368,1498,1347,1507,1321,1508,1178,1721,1193,1705,1213,1695,1232,1701,1252,1694,1281,1703,1313,1721,1282,1739,1254,1749,1232,1750,1213,1748,1194,1739,1188,1720,1213,1713,1232,1715,1253,1713,1300,1721,1253,1724,1232,1726,1213,1724
39,h,1,1,1029,1376,1475,1822,1.3,1105,1525,1103,1573,1108,1622,1116,1671,1129,1719,1152,1761,1178,1795,1206,1822,1247,1833,1300,1835,1355,1821,1412,1802,1463,1768,1501,1721,1518,1661,1524,1596,1531,1528,1100,1462,1111,1432,1139,1422,1171,1423,1201,1435,1255,1424,1297,1407,1344,1407,1389,1425,1420,1459,1228,1484,1225,1516,1220,1548,1216,1582,1190,1626,1207,1632,1227,1635,1252,1630,1276,1624,1131,1501,1146,1478,1171,1479,1194,1501,1170,1508,1145,1508,1301,1498,1320,1472,1348,1472,1375,1492,1351,1502,1323,1504,1183,1715,1196,1692,1213,1679,1230,1684,1250,1677,1283,1691,1321,1715,1283,1726,1254,1731,1233,1732,1216,1732,1200,1726,1193,1711,1215,1700,1231,1702,1251,1700,1306,1711,1252,1707,1232,1708,1215,1706
40,h,1,1,1029,1327,1475,1772,1.3333333333333333,1090,1508,1090,1556,1096,1606,1107,1656,1121,1704,1147,1748,1177,1785,1211,1812,1256,1818,1309,1812,1359,1789,1409,1759,1453,1719,1484,1668,1496,1607,1498,1543,1500,1478,1095,1453,1105,1424,1133,1412,1165,1414,1197,1423,1259,1413,1297,1397,1339,1392,1378,1406,1406,1433,1228,1472,1226,1506,1222,1539,1218,1573,1190,1616,1207,1622,1228,1626,1252,1620,1275,1613,1128,1490,1144,1470,1169,1469,1190,1489,1169,1495,1145,1496,1294,1481,1314,1458,1341,1456,1367,1472,1345,1481,1318,1483,1177,1700,1194,1678,1212,1666,1230,1671,1250,1665,1284,1677,1319,1697,1287,1717,1256,1724,1234,1726,1215,1724,1196,1715,1189,1697,1214,1688,1232,1690,1252,1688,1305,1695,1253,1698,1232,1699,1213,1697
41,h,1,1,1029,1327,1475,1772,1.3666666666666667,1090,1508,1090,1556,1096,1606,1107,1656,1121,1704,1147,1748,1177,1785,1211,1812,1256,1818,1309,1812,1359,1789,1409,1759,1453,1719,1484,1668,1496,1607,1498,1543,1500,1478,1095,1453,1105,1424,1133,1412,1165,1414,1197,1423,1259,1413,1297,1397,1339,1392,1378,1406,1406,1433,1228,1472,1226,1506,1222,1539,1218,1573,1190,1616,1207,1622,1228,1626,1252,1620,1275,1613,1128,1490,1144,1470,1169,1469,1190,1489,1169,1495,1145,1496,1294,1481,1314,1458,1341,1456,1367,1472,1345,1481,1318,1483,1177,1700,1194,1678,1212,1666,1230,1671,1250,1665,1284,1677,1319,1697,1287,1717,1256,1724,1234,1726,1215,1724,1196,1715,1189,1697,1214,1688,1232,1690,1252,1688,1305,1695,1253,1698,1232,1699,1213,1697
