index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,mark_0_x,mark_0_y,mark_1_x,mark_1_y,mark_2_x,mark_2_y,mark_3_x,mark_3_y,mark_4_x,mark_4_y,mark_5_x,mark_5_y,mark_6_x,mark_6_y,mark_7_x,mark_7_y,mark_8_x,mark_8_y,mark_9_x,mark_9_y,mark_10_x,mark_10_y,mark_11_x,mark_11_y,mark_12_x,mark_12_y,mark_13_x,mark_13_y,mark_14_x,mark_14_y,mark_15_x,mark_15_y,mark_16_x,mark_16_y,mark_17_x,mark_17_y,mark_18_x,mark_18_y,mark_19_x,mark_19_y,mark_20_x,mark_20_y,mark_21_x,mark_21_y,mark_22_x,mark_22_y,mark_23_x,mark_23_y,mark_24_x,mark_24_y,mark_25_x,mark_25_y,mark_26_x,mark_26_y,mark_27_x,mark_27_y,mark_28_x,mark_28_y,mark_29_x,mark_29_y,mark_30_x,mark_30_y,mark_31_x,mark_31_y,mark_32_x,mark_32_y,mark_33_x,mark_33_y,mark_34_x,mark_34_y,mark_35_x,mark_35_y,mark_36_x,mark_36_y,mark_37_x,mark_37_y,mark_38_x,mark_38_y,mark_39_x,mark_39_y,mark_40_x,mark_40_y,mark_41_x,mark_41_y,mark_42_x,mark_42_y,mark_43_x,mark_43_y,mark_44_x,mark_44_y,mark_45_x,mark_45_y,mark_46_x,mark_46_y,mark_47_x,mark_47_y,mark_48_x,mark_48_y,mark_49_x,mark_49_y,mark_50_x,mark_50_y,mark_51_x,mark_51_y,mark_52_x,mark_52_y,mark_53_x,mark_53_y,mark_54_x,mark_54_y,mark_55_x,mark_55_y,mark_56_x,mark_56_y,mark_57_x,mark_57_y,mark_58_x,mark_58_y,mark_59_x,mark_59_y,mark_60_x,mark_60_y,mark_61_x,mark_61_y,mark_62_x,mark_62_y,mark_63_x,mark_63_y,mark_64_x,mark_64_y,mark_65_x,mark_65_y,mark_66_x,mark_66_y,mark_67_x,mark_67_y
1,h,1,1,1055,841,1697,1483,0.03333333333333333,1099,1088,1103,1156,1113,1223,1126,1290,1148,1354,1179,1415,1229,1458,1296,1484,1379,1491,1466,1481,1533,1456,1588,1419,1625,1363,1648,1298,1659,1231,1670,1164,1678,1096,1138,995,1166,943,1221,917,1283,916,1342,931,1402,931,1458,913,1521,911,1578,932,1616,979,1369,993,1370,1038,1370,1080,1372,1127,1303,1193,1336,1199,1371,1206,1407,1198,1442,1189,1191,1030,1217,1008,1251,1006,1282,1026,1250,1034,1217,1037,1463,1024,1491,1002,1525,1002,1554,1021,1525,1030,1492,1029,1271,1333,1308,1304,1343,1287,1370,1295,1395,1286,1434,1299,1486,1325,1437,1332,1400,1335,1375,1338,1347,1337,1311,1338,1287,1328,1345,1314,1372,1315,1396,1311,1468,1321,1398,1311,1374,1314,1347,1314
2,h,1,1,1055,841,1697,1483,0.06666666666666667,1102,1082,1107,1150,1116,1216,1127,1282,1146,1349,1178,1409,1229,1451,1291,1481,1372,1491,1459,1483,1528,1458,1589,1421,1630,1362,1654,1295,1667,1225,1681,1157,1693,1083,1143,986,1173,934,1228,907,1289,910,1348,925,1402,929,1460,912,1524,911,1583,934,1619,982,1370,992,1371,1036,1372,1075,1373,1121,1309,1188,1340,1193,1373,1200,1407,1194,1441,1188,1199,1027,1225,1011,1257,1009,1287,1025,1256,1032,1225,1034,1462,1025,1490,1010,1521,1011,1551,1027,1522,1033,1490,1032,1274,1328,1313,1302,1347,1286,1374,1293,1400,1285,1435,1298,1483,1325,1436,1332,1400,1333,1375,1333,1347,1333,1314,1335,1293,1324,1347,1309,1375,1310,1399,1307,1463,1320,1400,1305,1375,1307,1348,1306
3,h,1,1,1055,841,1697,1483,0.1,1095,1066,1102,1137,1111,1208,1124,1278,1146,1345,1181,1404,1234,1446,1298,1478,1380,1486,1465,1478,1531,1453,1587,1416,1628,1357,1652,1290,1667,1220,1682,1148,1692,1075,1137,981,1170,930,1229,909,1292,913,1351,930,1404,934,1462,915,1526,913,1586,935,1621,984,1375,994,1376,1038,1376,1079,1376,1125,1309,1190,1341,1195,1376,1202,1411,1195,1447,1188,1201,1029,1228,1014,1260,1011,1291,1026,1259,1032,1229,1034,1466,1027,1493,1013,1525,1015,1556,1029,1525,1034,1493,1032,1274,1327,1313,1300,1349,1285,1377,1293,1402,1285,1440,1298,1489,1323,1441,1335,1405,1340,1379,1342,1351,1342,1314,1339,1291,1323,1350,1310,1377,1312,1403,1308,1470,1319,1404,1314,1379,1317,1351,1316
4,h,1,1,1055,841,1697,1483,0.13333333333333333,1095,1066,1102,1137,1111,1208,1124,1278,1146,1345,1181,1404,1234,1446,1298,1478,1380,1486,1465,1478,1531,1453,1587,1416,1628,1357,1652,1290,1667,1220,1682,1148,1692,1075,1137,981,1170,930,1229,909,1292,913,1351,930,1404,934,1462,915,1526,913,1586,935,1621,984,1375,994,1376,1038,1376,1079,1376,1125,1309,1190,1341,1195,1376,1202,1411,1195,1447,1188,1201,1029,1228,1014,1260,1011,1291,1026,1259,1032,1229,1034,1466,1027,1493,1013,1525,1015,1556,1029,1525,1034,1493,1032,1274,1327,1313,1300,1349,1285,1377,1293,1402,1285,1440,1298,1489,1323,1441,1335,1405,1340,1379,1342,1351,1342,1314,1339,1291,1323,1350,1310,1377,1312,1403,1308,1470,1319,1404,1314,1379,1317,1351,1316
5,h,1,1,1055,841,1697,1483,0.16666666666666666,1109,1085,1111,1151,1119,1220,1131,1289,1153,1356,1187,1417,1240,1460,1304,1489,1386,1495,1472,1484,1540,1454,1597,1415,1634,1356,1655,1292,1667,1224,1680,1160,1689,1095,1154,987,1183,938,1236,916,1294,918,1349,933,1410,934,1466,914,1527,910,1585,929,1621,975,1379,994,1378,1037,1378,1078,1377,1124,1313,1191,1345,1198,1378,1205,1413,1197,1447,1189,1208,1029,1235,1012,1267,1011,1296,1025,1267,1032,1235,1034,1469,1023,1496,1008,1527,1009,1556,1025,1527,1030,1496,1029,1276,1331,1316,1302,1351,1287,1377,1294,1404,1285,1443,1298,1493,1324,1446,1332,1408,1336,1382,1338,1354,1338,1318,1339,1294,1327,1352,1312,1378,1313,1404,1309,1474,1320,1407,1309,1380,1312,1354,1312
6,h,1,1,1055,841,1697,1483,0.2,1111,1076,1113,1146,1122,1216,1133,1286,1155,1353,1190,1413,1246,1453,1309,1483,1390,1488,1476,1478,1543,1447,1602,1406,1639,1347,1659,1279,1672,1209,1685,1142,1694,1072,1152,980,1183,934,1235,914,1293,915,1349,930,1410,931,1465,911,1528,908,1587,929,1622,975,1379,991,1379,1035,1378,1077,1378,1123,1316,1188,1346,1195,1378,1203,1413,1195,1447,1186,1208,1027,1232,1010,1264,1009,1295,1023,1264,1029,1233,1032,1470,1020,1497,1006,1530,1007,1559,1022,1530,1029,1498,1027,1279,1328,1319,1299,1352,1285,1378,1292,1406,1285,1445,1297,1494,1323,1446,1331,1408,1333,1380,1334,1353,1334,1319,1335,1297,1323,1353,1308,1379,1309,1406,1307,1475,1318,1407,1304,1380,1307,1354,1307
7,h,1,1,1055,841,1697,1483,0.23333333333333334,1111,1076,1113,1146,1122,1216,1133,1286,1155,1353,1190,1413,1246,1453,1309,1483,1390,1488,1476,1478,1543,1447,1602,1406,1639,1347,1659,1279,1672,1209,1685,1142,1694,1072,1152,980,1183,934,1235,914,1293,915,1349,930,1410,931,1465,911,1528,908,1587,929,1622,975,1379,991,1379,1035,1378,1077,1378,1123,1316,1188,1346,1195,1378,1203,1413,1195,1447,1186,1208,1027,1232,1010,1264,1009,1295,1023,1264,1029,1233,1032,1470,1020,1497,1006,1530,1007,1559,1022,1530,1029,1498,1027,1279,1328,1319,1299,1352,1285,1378,1292,1406,1285,1445,1297,1494,1323,1446,1331,1408,1333,1380,1334,1353,1334,1319,1335,1297,1323,1353,1308,1379,1309,1406,1307,1475,1318,1407,1304,1380,1307,1354,1307
8,h,1,1,1055,841,1697,1483,0.26666666666666666,1118,1080,1118,1148,1123,1217,1134,1288,1158,1353,1196,1411,1249,1454,1312,1486,1390,1492,1472,1482,1538,1450,1593,1410,1632,1355,1656,1292,1671,1226,1683,1162,1693,1096,1156,988,1186,935,1243,912,1302,914,1359,931,1407,933,1464,912,1528,911,1587,934,1624,983,1380,995,1380,1038,1379,1078,1378,1124,1314,1191,1345,1198,1380,1205,1414,1197,1448,1189,1212,1032,1238,1015,1271,1014,1302,1028,1270,1035,1238,1037,1469,1026,1498,1011,1530,1014,1559,1030,1529,1034,1498,1032,1281,1331,1319,1302,1354,1285,1378,1292,1405,1284,1444,1298,1493,1323,1447,1335,1409,1340,1382,1342,1356,1343,1321,1342,1298,1326,1354,1310,1379,1312,1405,1308,1474,1318,1408,1312,1382,1315,1357,1315
9,h,1,1,1055,841,1697,1483,0.3,1112,1083,1114,1152,1122,1222,1133,1290,1157,1354,1192,1412,1243,1455,1307,1488,1387,1495,1470,1482,1537,1451,1594,1411,1633,1353,1655,1287,1669,1221,1683,1155,1694,1087,1153,992,1184,940,1241,915,1301,916,1358,934,1406,935,1462,914,1525,912,1584,934,1620,984,1380,994,1379,1039,1379,1080,1379,1126,1312,1191,1344,1198,1378,1206,1414,1197,1448,1188,1211,1033,1239,1020,1271,1017,1300,1029,1270,1036,1239,1039,1466,1026,1496,1015,1526,1017,1554,1030,1525,1035,1496,1033,1279,1330,1316,1302,1352,1286,1378,1293,1404,1285,1444,1299,1493,1324,1446,1334,1408,1339,1381,1341,1353,1341,1318,1339,1297,1326,1352,1313,1378,1314,1404,1309,1474,1319,1407,1312,1381,1315,1354,1315
10,h,1,1,1055,841,1697,1483,0.3333333333333333,1098,1075,1106,1146,1118,1217,1132,1287,1153,1354,1186,1415,1240,1456,1306,1487,1388,1494,1474,1482,1539,1451,1595,1411,1634,1352,1656,1284,1669,1212,1683,1141,1693,1069,1147,978,1179,930,1234,908,1293,914,1349,931,1409,932,1465,913,1523,908,1579,924,1615,968,1378,991,1379,1037,1379,1080,1379,1127,1314,1191,1346,1197,1379,1204,1415,1196,1449,1187,1206,1029,1232,1012,1265,1011,1295,1025,1265,1032,1233,1035,1468,1023,1495,1008,1527,1008,1556,1023,1527,1030,1496,1029,1279,1327,1319,1300,1354,1284,1380,1291,1405,1284,1443,1296,1492,1321,1445,1333,1408,1337,1382,1338,1356,1338,1320,1337,1298,1324,1355,1310,1381,1311,1406,1307,1473,1318,1406,1308,1381,1312,1356,1311
