index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,mark_0_x,mark_0_y,mark_1_x,mark_1_y,mark_2_x,mark_2_y,mark_3_x,mark_3_y,mark_4_x,mark_4_y,mark_5_x,mark_5_y,mark_6_x,mark_6_y,mark_7_x,mark_7_y,mark_8_x,mark_8_y,mark_9_x,mark_9_y,mark_10_x,mark_10_y,mark_11_x,mark_11_y,mark_12_x,mark_12_y,mark_13_x,mark_13_y,mark_14_x,mark_14_y,mark_15_x,mark_15_y,mark_16_x,mark_16_y,mark_17_x,mark_17_y,mark_18_x,mark_18_y,mark_19_x,mark_19_y,mark_20_x,mark_20_y,mark_21_x,mark_21_y,mark_22_x,mark_22_y,mark_23_x,mark_23_y,mark_24_x,mark_24_y,mark_25_x,mark_25_y,mark_26_x,mark_26_y,mark_27_x,mark_27_y,mark_28_x,mark_28_y,mark_29_x,mark_29_y,mark_30_x,mark_30_y,mark_31_x,mark_31_y,mark_32_x,mark_32_y,mark_33_x,mark_33_y,mark_34_x,mark_34_y,mark_35_x,mark_35_y,mark_36_x,mark_36_y,mark_37_x,mark_37_y,mark_38_x,mark_38_y,mark_39_x,mark_39_y,mark_40_x,mark_40_y,mark_41_x,mark_41_y,mark_42_x,mark_42_y,mark_43_x,mark_43_y,mark_44_x,mark_44_y,mark_45_x,mark_45_y,mark_46_x,mark_46_y,mark_47_x,mark_47_y,mark_48_x,mark_48_y,mark_49_x,mark_49_y,mark_50_x,mark_50_y,mark_51_x,mark_51_y,mark_52_x,mark_52_y,mark_53_x,mark_53_y,mark_54_x,mark_54_y,mark_55_x,mark_55_y,mark_56_x,mark_56_y,mark_57_x,mark_57_y,mark_58_x,mark_58_y,mark_59_x,mark_59_y,mark_60_x,mark_60_y,mark_61_x,mark_61_y,mark_62_x,mark_62_y,mark_63_x,mark_63_y,mark_64_x,mark_64_y,mark_65_x,mark_65_y,mark_66_x,mark_66_y,mark_67_x,mark_67_y
18,h,1,1,1079,782,1525,1228,0.6,1029,990,1045,1051,1066,1110,1095,1165,1134,1214,1187,1250,1251,1273,1318,1284,1384,1279,1440,1259,1479,1226,1511,1181,1528,1129,1533,1073,1531,1015,1525,959,1511,908,1090,901,1119,858,1165,831,1218,823,1267,828,1334,820,1374,801,1418,794,1460,805,1486,838,1312,883,1322,914,1333,945,1345,978,1289,1043,1319,1042,1348,1041,1372,1033,1393,1027,1150,930,1174,904,1205,899,1238,918,1211,929,1178,934,1368,900,1391,872,1421,867,1448,884,1428,895,1398,901,1262,1150,1298,1111,1332,1088,1356,1091,1380,1081,1412,1093,1441,1120,1419,1136,1394,1147,1369,1153,1343,1156,1306,1158,1277,1144,1335,1119,1359,1117,1383,1112,1427,1118,1387,1115,1363,1121,1339,1124
19,h,1,1,1079,782,1525,1228,0.6333333333333333,1029,990,1045,1051,1066,1110,1095,1165,1134,1214,1187,1250,1251,1273,1318,1284,1384,1279,1440,1259,1479,1226,1511,1181,1528,1129,1533,1073,1531,1015,1525,959,1511,908,1090,901,1119,858,1165,831,1218,823,1267,828,1334,820,1374,801,1418,794,1460,805,1486,838,1312,883,1322,914,1333,945,1345,978,1289,1043,1319,1042,1348,1041,1372,1033,1393,1027,1150,930,1174,904,1205,899,1238,918,1211,929,1178,934,1368,900,1391,872,1421,867,1448,884,1428,895,1398,901,1262,1150,1298,1111,1332,1088,1356,1091,1380,1081,1412,1093,1441,1120,1419,1136,1394,1147,1369,1153,1343,1156,1306,1158,1277,1144,1335,1119,1359,1117,1383,1112,1427,1118,1387,1115,1363,1121,1339,1124
20,h,1,1,1079,782,1525,1228,0.6666666666666666,1025,989,1042,1049,1063,1108,1090,1162,1126,1212,1177,1248,1241,1272,1309,1284,1377,1281,1434,1261,1474,1227,1506,1183,1524,1131,1528,1074,1526,1015,1518,958,1504,905,1085,909,1113,866,1159,837,1214,827,1264,832,1327,822,1367,803,1412,796,1454,806,1481,839,1305,886,1315,917,1326,948,1337,981,1282,1046,1311,1045,1340,1044,1364,1036,1386,1030,1144,933,1167,908,1199,903,1231,922,1204,932,1172,937,1365,901,1388,874,1418,868,1444,885,1424,897,1394,902,1255,1153,1289,1115,1323,1092,1348,1095,1371,1085,1404,1097,1433,1123,1411,1139,1386,1149,1361,1155,1335,1159,1298,1161,1270,1147,1326,1124,1351,1121,1375,1116,1419,1121,1378,1119,1354,1124,1330,1127
21,h,1,1,1079,782,1525,1228,0.7,1024,995,1039,1055,1059,1112,1086,1166,1122,1215,1173,1251,1236,1274,1304,1287,1370,1283,1427,1264,1466,1229,1501,1186,1520,1134,1526,1078,1524,1019,1517,963,1502,910,1080,906,1107,862,1153,836,1207,827,1258,832,1320,823,1362,804,1407,797,1450,808,1479,841,1300,886,1309,917,1319,948,1329,981,1274,1046,1304,1045,1334,1044,1359,1037,1381,1030,1139,932,1162,906,1194,901,1227,919,1199,930,1167,936,1359,901,1382,873,1413,868,1440,886,1419,898,1388,902,1249,1155,1283,1116,1318,1094,1343,1097,1366,1087,1399,1099,1428,1124,1407,1140,1380,1150,1355,1156,1329,1159,1292,1161,1264,1148,1321,1125,1346,1124,1369,1119,1415,1123,1373,1122,1349,1127,1324,1129
22,h,1,1,998,760,1533,1295,0.7333333333333333,1021,987,1035,1047,1054,1106,1081,1161,1119,1211,1172,1251,1233,1278,1300,1293,1366,1291,1421,1270,1462,1235,1496,1188,1516,1134,1526,1077,1526,1018,1518,962,1503,909,1079,903,1106,862,1150,839,1201,832,1250,836,1314,825,1355,806,1399,798,1442,806,1473,835,1292,890,1301,921,1311,951,1321,984,1265,1050,1295,1049,1325,1049,1352,1041,1374,1033,1132,937,1155,911,1187,907,1219,924,1193,934,1160,940,1354,903,1377,876,1408,871,1435,887,1415,898,1385,904,1240,1158,1276,1119,1311,1096,1335,1099,1359,1090,1392,1101,1424,1127,1400,1144,1373,1156,1347,1162,1322,1166,1285,1167,1256,1151,1313,1129,1337,1127,1362,1121,1409,1125,1366,1126,1341,1131,1318,1134
23,h,1,1,998,760,1533,1295,0.7666666666666667,1021,987,1035,1047,1054,1106,1081,1161,1119,1211,1172,1251,1233,1278,1300,1293,1366,1291,1421,1270,1462,1235,1496,1188,1516,1134,1526,1077,1526,1018,1518,962,1503,909,1079,903,1106,862,1150,839,1201,832,1250,836,1314,825,1355,806,1399,798,1442,806,1473,835,1292,890,1301,921,1311,951,1321,984,1265,1050,1295,1049,1325,1049,1352,1041,1374,1033,1132,937,1155,911,1187,907,1219,924,1193,934,1160,940,1354,903,1377,876,1408,871,1435,887,1415,898,1385,904,1240,1158,1276,1119,1311,1096,1335,1099,1359,1090,1392,1101,1424,1127,1400,1144,1373,1156,1347,1162,1322,1166,1285,1167,1256,1151,1313,1129,1337,1127,1362,1121,1409,1125,1366,1126,1341,1131,1318,1134
24,h,1,1,998,760,1533,1295,0.8,1017,989,1032,1048,1053,1106,1079,1160,1116,1210,1165,1248,1226,1274,1291,1288,1357,1287,1414,1269,1457,1234,1493,1188,1515,1134,1525,1076,1525,1016,1517,957,1504,902,1069,904,1096,863,1140,841,1192,834,1242,839,1308,826,1350,807,1394,799,1437,806,1468,832,1286,892,1295,923,1304,953,1314,987,1260,1051,1289,1051,1319,1050,1344,1043,1367,1036,1126,937,1149,912,1181,907,1213,926,1187,935,1154,940,1350,904,1372,877,1403,871,1431,888,1410,899,1380,905,1235,1160,1269,1120,1302,1098,1326,1101,1350,1091,1384,1103,1416,1130,1392,1147,1364,1158,1338,1164,1314,1167,1277,1169,1250,1154,1306,1131,1329,1128,1353,1123,1402,1128,1357,1128,1332,1133,1309,1137
25,h,1,1,998,760,1533,1295,0.8333333333333334,1017,993,1031,1051,1050,1105,1074,1158,1107,1205,1154,1243,1211,1270,1276,1286,1340,1286,1398,1268,1444,1236,1481,1194,1506,1145,1518,1089,1521,1029,1516,970,1504,914,1065,908,1091,868,1133,842,1183,833,1232,838,1300,826,1341,807,1387,799,1430,809,1463,836,1274,890,1283,923,1291,954,1300,988,1247,1052,1276,1052,1305,1051,1331,1044,1355,1037,1118,936,1141,908,1172,904,1204,924,1177,931,1145,937,1342,903,1364,873,1396,867,1424,886,1402,896,1371,902,1225,1164,1255,1123,1286,1100,1311,1102,1336,1093,1371,1104,1404,1133,1378,1149,1350,1160,1323,1166,1297,1169,1264,1170,1240,1157,1289,1132,1314,1129,1339,1124,1390,1130,1342,1130,1317,1135,1293,1138
26,h,1,1,998,760,1533,1295,0.8666666666666667,1017,993,1031,1051,1050,1105,1074,1158,1107,1205,1154,1243,1211,1270,1276,1286,1340,1286,1398,1268,1444,1236,1481,1194,1506,1145,1518,1089,1521,1029,1516,970,1504,914,1065,908,1091,868,1133,842,1183,833,1232,838,1300,826,1341,807,1387,799,1430,809,1463,836,1274,890,1283,923,1291,954,1300,988,1247,1052,1276,1052,1305,1051,1331,1044,1355,1037,1118,936,1141,908,1172,904,1204,924,1177,931,1145,937,1342,903,1364,873,1396,867,1424,886,1402,896,1371,902,1225,1164,1255,1123,1286,1100,1311,1102,1336,1093,1371,1104,1404,1133,1378,1149,1350,1160,1323,1166,1297,1169,1264,1170,1240,1157,1289,1132,1314,1129,1339,1124,1390,1130,1342,1130,1317,1135,1293,1138
27,h,1,1,998,760,1533,1295,0.9,1021,991,1032,1047,1049,1102,1071,1156,1102,1204,1149,1242,1206,1269,1269,1285,1333,1285,1393,1269,1439,1238,1476,1196,1500,1146,1511,1090,1513,1031,1510,973,1501,917,1059,903,1085,864,1126,839,1175,831,1222,835,1295,822,1338,803,1384,796,1429,808,1459,838,1268,888,1275,922,1282,954,1289,989,1238,1052,1266,1050,1295,1050,1321,1043,1345,1038,1110,934,1133,906,1164,902,1197,922,1168,930,1136,935,1336,901,1359,871,1391,866,1419,884,1397,894,1366,900,1214,1161,1243,1121,1275,1099,1300,1101,1326,1092,1361,1104,1398,1133,1370,1151,1340,1162,1313,1168,1288,1170,1252,1168,1228,1155,1279,1131,1303,1129,1329,1124,1384,1131,1333,1132,1307,1138,1283,1140
