file_name,md5_digest,rotation
20200521_7AB,0a6ea63fec679a042d44d0ecb2c35dfc,90c
20200528_12AB,98f6cd93546d76ed7488cbdd58b9f297,90c
20200806_1AB,1e80ad881329e49a709daae393b0aa94,90c
20200818_2AB,89c3511adb8b1103c569cfac2b4473ad,90c
20200730_4AB,7546c9d6e7e0f6941459ac19355c81a6,90c
20200806_6AB,4bf70d944a63ad15a99ef06ee03cd851,90c
20200806_8AB,d6f5090c34e6e38d0ba2fc92d84209c2,90c
20200818_7AB,3688d3bde9cf24e92f263a4d97fcee50,90c
20200806_2AB,b7853458622e60151904e2e5500ce87c,90c
20200806_10AB,0a8bd757042e2bdff5ecef1e979c9951,90c
20200818_1AB,57b58c95a8e138e8e8df17ccbc11f6ee,90c
20200818_4AB,d57d102b06b4ebc5b978c0bf559e1135,90c
20200528_9AB,895a6a60b73a5ff4ab0644d6d5a91329,90c
20200528_11AB,6439f8fafeb5d4b909a8700e29830df1,90c
20200611_19AB,50de7cf07364f95f33e8156060a94bf7,90c
20200730_3AB,25c37dc9efd958aa0261ee8d2335f75c,90c
20200806_4AB,b3d908ed6c71ac370857427f2bad7698,90c
20200818_16AB,9cd6124753e81673418bc1e8a2033727,90c
20200818_20A,e140ffb038bcb621d6dc413da77ecc05,90c
20200818_22A,8c1febaa74ce239a8be5dff0b1e4734b,90c
20200818_9AB,135b1bef21dca1d75be5cc7c10749507,90c
20200818_14AB,c73ef584e99b168cb24ed81155df124e,90c
20200818_5AB,812209b0321e07f8c77865851a96811d,90c
20200818_6AB,ea2bba0a0136fec9913f3033df28b65f,90c
20200818_8AB,2e64769aa3dfc351126932a263b7acc4,90c
20200818_11AB,ca550b2b45d31e457398ce71ce7b0ca1,90c
20200818_19AB,ad38c0968654fb984e4eb2dbf538a52c,90c
20200818_21A,e14025f1a5eb4de5d845518b70198836,180
20200818_10AB,610e1c64f17d611aaa4ed302adeea5ff,90c
20200818_12AB,696eff9bebd38310258a23b84579d85d,90c
20200818_13AB,d2e01d77490d4ace4c440012a2bab247,90c
20200818_3AB,933eb7cce91756fcab5ff10056800637,90c
20200818_20B,4ef0211514c1b8c991bdce20bfc5c298,90c
20200818_21B,3bc638725c3cfbbe403b64f855088e9e,none
20200818_22B,4bd6a7b3d709d5617ea705c6c8caa643,90c
20200818_17AB,9b36cde8b71cf68bc0c204d9eb2ce10d,90c
20200818_18A,e3766459b73e6574d54c5a2ba702cd85,90c
20200818_18B,d9712177a6846cbbc84a39ea2128fc7c,90c
20200811_5AB,210bab29bef508f233a82a2fbfdc2384,90c
20200811_2AB,46805b9ba893dd50cdb186c8152ac770,90c
20200811_1AB,f1b0456a10aa8fe7c77e92b74be62a7e,90c
20200811_8AB,6d595b2eb7be3554aa0d9b373e1e5e5a,90c
20200811_3AB,3a6d8cb334bafb2f4862a4e4522283a4,90c
20200811_20AB,3c38d3a0a690553b8e3e54ba837224d2,90c
20200811_4AB,559d436d7668016c619eeddf361c1c1e,90c
20200811_19AB,5aaf36e72c1b872bcf199dd14bbbd091,90c
20200811_21AB,adf1f981c765fe1f9c257b444c825973,90c
20200811_7AB,a7f74636f9ff0da77fd21d1de9e56004,90c
20200811_23AB,0ac82973f08888b0e40513bb23207d94,90c
20200811_22AB,ee91ea3c65cb6639c3cf4820a71f23fc,90c
20200811_24AB,404e57367331b30c95a6a63148739403,90c
20200811_11AB,cc005e301ab116ba399b1edf1a6d307a,90c
20200811_18AB,9da06304cf0207d1ebb4800adfde4d5c,90c
20200811_6AB,d6a1b6123ba0bc56e987c36cd11a8984,90c
20200811_10AB,66016d759de27752f91b4e0eb8624031,90c
20200806_5AB,12b2ff955e22c46b92513f8619d400f3,90c
20200806_7AB,1c0013702536a2965e9b2cf6d8bb8ce1,90c
20200806_11AB,f2eb06f20249cdf4da19b5ade1459232,90c
20200806_9AB,775217465f9e47d8aafd46cc0bab099a,90c
20200806_3AB,c15b41fbd251f5c21f9e2b40a03ee047,none
20200730_5AB,6c33de7b31495c8dfe017d2b16fe3d45,90c
20200730_6AB,a6cedb488b7c44d1271bd250b91ea440,90c
20200730_9AB,ba5e46d9013d0c25652c1b5ac784273b,90c
20200730_1AB,0c4ed7c72f182a0307f7876609399b6c,90c
20200730_7AB,73a1afb6c4ed3e24e647b9120a31f699,90c
20200730_8AB,37b3a83f5a8b7cb177a75398ac90b1e0,90c
20200730_10AB,d1de9ef908f218e8c467a5fced79cd9d,90c
20200730_2AB,5416baee2b44764acf44f6f2534f48a2,90c
20200723_18AB,38b2716b1a76a72675e0020c2bd1e18d,90c
20200723_5AB,f7ad2551659b03ea96b2e8b155662f00,90c
20200723_7AB,1e15906b309e7addbcd2aea54cfba091,90c
20200723_15AB,519a284111ba0fcb8c8e9e03b8b08784,90c
20200723_4AB,bc2455c9d108d5c4cec32268ac1709aa,90c
20200723_13AB,d8936bac2418b02e0d70133b5d4db82e,90c
20200723_19AB,b176cdb4ca27cfa5d6eb66d9a60d3281,90c
20200723_9AB,f73b92402adbefc96ad1c665eefba519,90c
20200723_21AB,1369fa8ae6b8b94a777e66ccc1d1d085,90c
20200723_22AB,063ae5fe9f0ff7335867ca51f3c9cb35,90c
20200723_2AB,2717bb8e7b98d57be1c840f776bf87f4,90c
20200723_20AB,8e60d3744da00286dcf22f94cac461f7,90c
20200723_11AB,cb71625fedebb4d9dedb23d8dc649ec3,90c
20200723_17AB,d9a1139966c4408fe2bdb6ba7b0c94a9,90c
20200723_10AB,162397889752feb84c6a04a255102258,90c
20200723_16AB,5dab180fc8e9e19822040d1e5c3f46c9,90c
20200723_1AB,0dbd50b03fdb52f38a58e6988d80dce9,90c
20200723_12AB,0e3d4af92e7804b3128a66dd404b9161,90c
20200723_6AB,f0a244c065762ce6c05aa12af525cbc5,90c
20200723_8AB,953da72b23641c93fa1097efd293c3a6,90c
20200723_3AB,16911e4fc7d5d8b6c22d94eb73919045,90c
20200721_2AB,a24234f1066432a018fbf0c8c9cdc554,90c
20200721_5AB,2379d4d56327a589586db62d9a623ee6,90c
20200721_6AB,7f8a1c879713bb19d0165950878a838a,90c
20200721_1AB,41a88246b3b3d134a3ce7a6fada1a7ca,90c
20200721_3AB,2e499cb897f8dd5151a94b7f9515021e,90c
20200721_4AB,cd356d6b1af2eca293aa723ccffdd048,90c
20200721_7AB,2e9b37cf29da1906a42799d3065f95de,90c
20200721_8AB,8dd83c9f2f3a41d26cf68db80540499a,90c
20200721_9AB,37a1b15f17aa2c1e27ddaeea2172ca08,90c
20200714_3AB,a88811415e6f54443222beb0e5fea9d0,90c
20200714_2AB,d76ef85711a292bf1ea6612ff73990dd,90c
20200714_5AB,3d14cf8af19d2490996ce82e275e5112,90c
20200714_8AB,4edfd2ea5365732b2b730aadac8742f9,90c
20200714_11AB,a1f5b55f4fb23a6a1eb6a934090af592,90c
20200714_4AB,3d93e159b6cf7f6bd8f40f707bc515fd,90c
20200714_6AB,130f18c712e174d4c7d7dae0420e78ca,90c
20200714_10AB,2cb2b41324030c696e29b938152391fc,90c
20200714_9AB,9ad40f69f248487bddeb1d8776ad81d5,90cc
20200714_1AB,2ba4d26586190e6c6107c0c7a3076b7e,90c
20200714_7AB,5aa13ebea559ea0b205226a6d40ef5a4,90c
20200714_12AB,10366eb20aaafa75aab4c51a892551f7,90c
20200709_19AB,70eca965e3e9b518f08f7782d8bf8a6d,90c
20200709_22AB,7d91a6a562dd4ab0a27ac434e3363389,90c
20200709_4A,28f608012cbf1a2a9aa78169fb8817f1,90c
20200709_11AB,99680ae19e605f6274657bfe8149e070,90c
20200709_14AB,014bf6fe4dfc141bb5d1f3012496b6c1,90c
20200709_17AB,e110fd53e7efa71e6974349425598e31,90c
20200709_18AB,7a3bd9337961ef8caad2ef0a067cba75,90cc
20200709_20AB,e351eca292750f23bbb4edc72f128658,90c
20200709_4AB,af9aa639438c7f1eb05efe87e1955806,90c
20200709_10AB,041cb91e5569bce187ec00b09910971c,90c
20200709_12AB,f170ca06a8b0bea288b7234f7ea89b0c,90c
20200709_13AB,404109cec2a0f8d472492a87823b9f27,90c
20200709_15AB,829f67b12f82c5068c91971f5c045c9a,90c
20200709_16AB,901c1b6fd12d9eaca5d5f3d03606a9b4,90c
20200709_1AB,8107a3739859e3b2408818318a8f511f,90c
20200709_5AB,8806edf4c2587b1c78ab92d86e3968dc,90c
20200709_6AB,7e0dd59f9d4b6c0f8462b17176f39fb8,90c
20200709_8AB,973250fb98fb5009d2f95c3c0b1606b4,90c
20200709_21AB,e023991f1d3a867fca148b0c2142f7df,90c
20200709_2AB,9841fccbede5996219b24062044c41ab,90c
20200709_3AB,f5d5d5f10bd6e139d8c1707ea3563eca,90c
20200709_7AB,256b6e0ad8eb961ed72abb0a8b038dd8,90c
20200709_9AB,b4e56f4a5096f4119695b96652904ea4,90c
20200707_4AB,29ef8753614f9b9bf6d3b0152e28cb39,90c
20200707_5AB,98d393761b02c104ea641c309a933a4a,90c
20200707_9AB,e8629ac340193bd63f7d373d0b280804,90c
20200707_2AB,49c6b1e4996c3afbacc68e66244fd026,90c
20200707_8A,2eb7f73495dd719fed005f336b1f64cc,90cc
20200707_6AB,8e54f80a1d2fa3178669689c6834c798,90c
20200707_8AB,f6f7a29858c3e2bca28e07559b8c1b21,90cc
20200707_1AB,0d92a0e7e524b40523afbbe0db7c39b3,90cc
20200707_3AB,6e9c4c2b0f7f12a989d70d4b39da8595,90c
20200707_10AB,c19b77a9197c23c8097b906d9dc3afde,90c
20200707_14AB,ed567f18c8039bf3632350f419f22ef3,90c
20200707_7AB,f9a398f27b668b5b4174435bf1cfc8f9,90c
20200707_11AB,b349f8353b7fa640c29907bacd94c1e4,90c
20200707_12AB,a81dedfadde4862610f4e81653b4b2ac,90cc
20200707_13AB,1e6a11ee2abcf82c0f7c2fad057e17c8,90c
20200702_10AB,e552c12c3daa76650e3acc6a42a23fd2,90c
20200702_23AB,0218ec914459dde550b16882ff05f156,90c
20200702_15AB,2388676883a66e15a08800d1e455b704,90c
20200702_16AB,ac6b690ce40a5951b9c9deb9412d8429,90c
20200702_18AB,be622bb3379de93060ad25f99e104569,90c
20200702_19AB,78fe79268af65cccc2ea2219e4970d58,90c
20200702_8AB,7acb444ec274d1b3c01aef7c1bca03ab,90c
20200702_9AB,7670b130e2bb5f0f1844bb5d332981b5,90c
20200702_12AB,6df257531b16f6a5b6e157df901411e7,90c
20200702_14AB,3f578f3a28b11ad4d4992251cb6a732f,90c
20200702_20AB,5e52ae33c837e9e74122b43dd8152874,90c
20200702_11AB,9566f5415dfde50c4b01391a1f293bae,90c
20200702_13AB,b7ef4b074dc3b04e15f41a63220a8a8c,90c
20200702_21AB,6f740fccbbe5ff16e011e793ab7b0d10,90c
20200702_24AB,967e39c5ba61063ff65c1793f3f22366,90c
20200702_17AB,f9f823e09a426f4b705ee44c95e4c2d6,90c
20200702_22AB,6fbc0d2199207d70daf1725b040b09b2,90c
