index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,mark_0_x,mark_0_y,mark_1_x,mark_1_y,mark_2_x,mark_2_y,mark_3_x,mark_3_y,mark_4_x,mark_4_y,mark_5_x,mark_5_y,mark_6_x,mark_6_y,mark_7_x,mark_7_y,mark_8_x,mark_8_y,mark_9_x,mark_9_y,mark_10_x,mark_10_y,mark_11_x,mark_11_y,mark_12_x,mark_12_y,mark_13_x,mark_13_y,mark_14_x,mark_14_y,mark_15_x,mark_15_y,mark_16_x,mark_16_y,mark_17_x,mark_17_y,mark_18_x,mark_18_y,mark_19_x,mark_19_y,mark_20_x,mark_20_y,mark_21_x,mark_21_y,mark_22_x,mark_22_y,mark_23_x,mark_23_y,mark_24_x,mark_24_y,mark_25_x,mark_25_y,mark_26_x,mark_26_y,mark_27_x,mark_27_y,mark_28_x,mark_28_y,mark_29_x,mark_29_y,mark_30_x,mark_30_y,mark_31_x,mark_31_y,mark_32_x,mark_32_y,mark_33_x,mark_33_y,mark_34_x,mark_34_y,mark_35_x,mark_35_y,mark_36_x,mark_36_y,mark_37_x,mark_37_y,mark_38_x,mark_38_y,mark_39_x,mark_39_y,mark_40_x,mark_40_y,mark_41_x,mark_41_y,mark_42_x,mark_42_y,mark_43_x,mark_43_y,mark_44_x,mark_44_y,mark_45_x,mark_45_y,mark_46_x,mark_46_y,mark_47_x,mark_47_y,mark_48_x,mark_48_y,mark_49_x,mark_49_y,mark_50_x,mark_50_y,mark_51_x,mark_51_y,mark_52_x,mark_52_y,mark_53_x,mark_53_y,mark_54_x,mark_54_y,mark_55_x,mark_55_y,mark_56_x,mark_56_y,mark_57_x,mark_57_y,mark_58_x,mark_58_y,mark_59_x,mark_59_y,mark_60_x,mark_60_y,mark_61_x,mark_61_y,mark_62_x,mark_62_y,mark_63_x,mark_63_y,mark_64_x,mark_64_y,mark_65_x,mark_65_y,mark_66_x,mark_66_y,mark_67_x,mark_67_y
104,h,1,1,732,1426,1178,1872,3.466666666666667,792,1564,795,1624,806,1682,820,1739,842,1793,870,1845,902,1889,940,1921,987,1931,1039,1921,1088,1889,1132,1844,1169,1790,1194,1732,1208,1669,1216,1602,1216,1533,794,1545,813,1520,847,1517,882,1526,914,1544,987,1539,1024,1517,1067,1505,1111,1507,1147,1526,955,1592,956,1637,955,1681,955,1727,907,1737,933,1750,963,1759,994,1746,1024,1733,830,1592,852,1581,879,1583,906,1598,879,1604,851,1604,1021,1592,1045,1574,1073,1572,1103,1578,1077,1592,1048,1595,901,1801,924,1796,949,1794,968,1799,990,1792,1025,1793,1061,1794,1030,1832,997,1852,973,1856,951,1853,925,1835,914,1805,949,1811,969,1813,992,1809,1046,1799,994,1823,971,1828,950,1824
105,h,1,1,732,1426,1178,1872,3.5,792,1564,795,1624,806,1682,820,1739,842,1793,870,1845,902,1889,940,1921,987,1931,1039,1921,1088,1889,1132,1844,1169,1790,1194,1732,1208,1669,1216,1602,1216,1533,794,1545,813,1520,847,1517,882,1526,914,1544,987,1539,1024,1517,1067,1505,1111,1507,1147,1526,955,1592,956,1637,955,1681,955,1727,907,1737,933,1750,963,1759,994,1746,1024,1733,830,1592,852,1581,879,1583,906,1598,879,1604,851,1604,1021,1592,1045,1574,1073,1572,1103,1578,1077,1592,1048,1595,901,1801,924,1796,949,1794,968,1799,990,1792,1025,1793,1061,1794,1030,1832,997,1852,973,1856,951,1853,925,1835,914,1805,949,1811,969,1813,992,1809,1046,1799,994,1823,971,1828,950,1824
106,h,1,1,732,1426,1178,1872,3.533333333333333,792,1564,795,1624,806,1682,820,1739,842,1793,870,1845,902,1889,940,1921,987,1931,1039,1921,1088,1889,1132,1844,1169,1790,1194,1732,1208,1669,1216,1602,1216,1533,794,1545,813,1520,847,1517,882,1526,914,1544,987,1539,1024,1517,1067,1505,1111,1507,1147,1526,955,1592,956,1637,955,1681,955,1727,907,1737,933,1750,963,1759,994,1746,1024,1733,830,1592,852,1581,879,1583,906,1598,879,1604,851,1604,1021,1592,1045,1574,1073,1572,1103,1578,1077,1592,1048,1595,901,1801,924,1796,949,1794,968,1799,990,1792,1025,1793,1061,1794,1030,1832,997,1852,973,1856,951,1853,925,1835,914,1805,949,1811,969,1813,992,1809,1046,1799,994,1823,971,1828,950,1824
107,h,1,1,732,1426,1178,1872,3.566666666666667,792,1564,795,1624,806,1682,820,1739,842,1793,870,1845,902,1889,940,1921,987,1931,1039,1921,1088,1889,1132,1844,1169,1790,1194,1732,1208,1669,1216,1602,1216,1533,794,1545,813,1520,847,1517,882,1526,914,1544,987,1539,1024,1517,1067,1505,1111,1507,1147,1526,955,1592,956,1637,955,1681,955,1727,907,1737,933,1750,963,1759,994,1746,1024,1733,830,1592,852,1581,879,1583,906,1598,879,1604,851,1604,1021,1592,1045,1574,1073,1572,1103,1578,1077,1592,1048,1595,901,1801,924,1796,949,1794,968,1799,990,1792,1025,1793,1061,1794,1030,1832,997,1852,973,1856,951,1853,925,1835,914,1805,949,1811,969,1813,992,1809,1046,1799,994,1823,971,1828,950,1824
108,h,1,1,732,1426,1178,1872,3.6,792,1562,795,1620,805,1678,820,1734,841,1788,869,1839,901,1882,938,1916,986,1927,1039,1917,1087,1885,1132,1838,1169,1784,1195,1725,1209,1661,1215,1595,1215,1527,796,1540,815,1516,850,1514,884,1524,916,1541,984,1536,1021,1514,1064,1503,1108,1504,1145,1523,955,1585,956,1630,956,1675,956,1722,908,1731,933,1744,963,1753,995,1740,1024,1727,830,1585,853,1576,879,1577,906,1592,879,1598,851,1598,1021,1586,1045,1567,1073,1566,1102,1572,1077,1586,1048,1589,903,1798,926,1791,950,1787,969,1792,990,1785,1025,1787,1060,1790,1029,1829,996,1850,973,1853,952,1850,927,1832,917,1802,951,1804,970,1807,991,1803,1045,1795,993,1820,971,1824,951,1820
109,h,1,1,732,1426,1178,1872,3.6333333333333333,792,1562,795,1620,805,1678,820,1734,841,1788,869,1839,901,1882,938,1916,986,1927,1039,1917,1087,1885,1132,1838,1169,1784,1195,1725,1209,1661,1215,1595,1215,1527,796,1540,815,1516,850,1514,884,1524,916,1541,984,1536,1021,1514,1064,1503,1108,1504,1145,1523,955,1585,956,1630,956,1675,956,1722,908,1731,933,1744,963,1753,995,1740,1024,1727,830,1585,853,1576,879,1577,906,1592,879,1598,851,1598,1021,1586,1045,1567,1073,1566,1102,1572,1077,1586,1048,1589,903,1798,926,1791,950,1787,969,1792,990,1785,1025,1787,1060,1790,1029,1829,996,1850,973,1853,952,1850,927,1832,917,1802,951,1804,970,1807,991,1803,1045,1795,993,1820,971,1824,951,1820
110,h,1,1,732,1426,1178,1872,3.6666666666666665,793,1551,795,1609,804,1666,820,1722,841,1775,868,1826,900,1870,938,1905,988,1915,1042,1904,1092,1872,1136,1826,1172,1771,1197,1712,1210,1649,1214,1585,1214,1518,799,1521,820,1498,853,1497,887,1506,917,1524,986,1518,1020,1495,1062,1482,1104,1483,1140,1501,955,1567,955,1613,953,1657,952,1704,909,1716,933,1729,961,1737,991,1726,1018,1713,833,1569,854,1557,882,1559,909,1576,881,1582,854,1582,1019,1569,1043,1548,1072,1545,1100,1553,1076,1568,1047,1571,905,1786,927,1779,949,1775,967,1780,989,1773,1022,1775,1058,1778,1026,1813,994,1830,971,1834,951,1832,929,1816,918,1789,949,1793,968,1795,990,1792,1043,1783,991,1803,969,1807,950,1804
111,h,1,1,701,1354,1236,1889,3.7,794,1551,794,1606,802,1664,818,1719,841,1772,873,1823,907,1865,946,1900,995,1911,1050,1900,1104,1869,1154,1827,1197,1774,1228,1716,1241,1652,1241,1585,1240,1516,801,1510,816,1485,848,1483,882,1491,913,1510,983,1506,1019,1481,1063,1470,1108,1472,1147,1491,953,1558,953,1604,951,1647,950,1693,906,1708,931,1721,959,1730,991,1717,1022,1703,834,1562,855,1551,882,1551,910,1567,881,1574,854,1575,1022,1561,1046,1542,1076,1540,1107,1548,1080,1562,1050,1565,906,1778,929,1773,950,1769,969,1773,990,1766,1027,1767,1067,1770,1033,1806,998,1826,975,1829,954,1826,932,1810,919,1782,950,1786,970,1788,991,1784,1052,1774,994,1798,972,1801,953,1798
112,h,1,1,701,1354,1236,1889,3.7333333333333334,788,1541,789,1598,800,1658,817,1714,839,1767,870,1821,904,1864,941,1897,989,1907,1042,1897,1093,1867,1140,1824,1179,1769,1206,1709,1218,1642,1224,1575,1224,1503,797,1500,813,1472,847,1469,881,1479,913,1497,985,1495,1021,1471,1064,1459,1108,1461,1145,1482,952,1546,952,1591,951,1636,950,1682,905,1698,929,1712,959,1720,991,1708,1021,1693,830,1553,851,1540,879,1540,907,1555,879,1562,851,1564,1020,1549,1044,1530,1073,1529,1103,1538,1076,1550,1047,1552,904,1773,927,1767,948,1762,968,1767,988,1759,1023,1761,1061,1764,1028,1797,994,1815,972,1819,951,1816,929,1802,916,1776,948,1779,968,1781,989,1777,1046,1768,991,1789,970,1793,950,1790
113,h,1,1,701,1354,1236,1889,3.7666666666666666,788,1541,789,1598,800,1658,817,1714,839,1767,870,1821,904,1864,941,1897,989,1907,1042,1897,1093,1867,1140,1824,1179,1769,1206,1709,1218,1642,1224,1575,1224,1503,797,1500,813,1472,847,1469,881,1479,913,1497,985,1495,1021,1471,1064,1459,1108,1461,1145,1482,952,1546,952,1591,951,1636,950,1682,905,1698,929,1712,959,1720,991,1708,1021,1693,830,1553,851,1540,879,1540,907,1555,879,1562,851,1564,1020,1549,1044,1530,1073,1529,1103,1538,1076,1550,1047,1552,904,1773,927,1767,948,1762,968,1767,988,1759,1023,1761,1061,1764,1028,1797,994,1815,972,1819,951,1816,929,1802,916,1776,948,1779,968,1781,989,1777,1046,1768,991,1789,970,1793,950,1790
