index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,mark_0_x,mark_0_y,mark_1_x,mark_1_y,mark_2_x,mark_2_y,mark_3_x,mark_3_y,mark_4_x,mark_4_y,mark_5_x,mark_5_y,mark_6_x,mark_6_y,mark_7_x,mark_7_y,mark_8_x,mark_8_y,mark_9_x,mark_9_y,mark_10_x,mark_10_y,mark_11_x,mark_11_y,mark_12_x,mark_12_y,mark_13_x,mark_13_y,mark_14_x,mark_14_y,mark_15_x,mark_15_y,mark_16_x,mark_16_y,mark_17_x,mark_17_y,mark_18_x,mark_18_y,mark_19_x,mark_19_y,mark_20_x,mark_20_y,mark_21_x,mark_21_y,mark_22_x,mark_22_y,mark_23_x,mark_23_y,mark_24_x,mark_24_y,mark_25_x,mark_25_y,mark_26_x,mark_26_y,mark_27_x,mark_27_y,mark_28_x,mark_28_y,mark_29_x,mark_29_y,mark_30_x,mark_30_y,mark_31_x,mark_31_y,mark_32_x,mark_32_y,mark_33_x,mark_33_y,mark_34_x,mark_34_y,mark_35_x,mark_35_y,mark_36_x,mark_36_y,mark_37_x,mark_37_y,mark_38_x,mark_38_y,mark_39_x,mark_39_y,mark_40_x,mark_40_y,mark_41_x,mark_41_y,mark_42_x,mark_42_y,mark_43_x,mark_43_y,mark_44_x,mark_44_y,mark_45_x,mark_45_y,mark_46_x,mark_46_y,mark_47_x,mark_47_y,mark_48_x,mark_48_y,mark_49_x,mark_49_y,mark_50_x,mark_50_y,mark_51_x,mark_51_y,mark_52_x,mark_52_y,mark_53_x,mark_53_y,mark_54_x,mark_54_y,mark_55_x,mark_55_y,mark_56_x,mark_56_y,mark_57_x,mark_57_y,mark_58_x,mark_58_y,mark_59_x,mark_59_y,mark_60_x,mark_60_y,mark_61_x,mark_61_y,mark_62_x,mark_62_y,mark_63_x,mark_63_y,mark_64_x,mark_64_y,mark_65_x,mark_65_y,mark_66_x,mark_66_y,mark_67_x,mark_67_y
1,h,1,1,820,1652,1354,2187,0.03333333333333333,881,1748,877,1814,882,1880,886,1944,897,2007,926,2063,967,2106,1013,2143,1072,2160,1137,2153,1201,2128,1258,2095,1301,2049,1328,1991,1344,1926,1356,1857,1364,1786,915,1704,941,1672,982,1666,1023,1679,1057,1703,1132,1705,1172,1687,1219,1682,1263,1695,1290,1730,1092,1756,1088,1800,1083,1843,1078,1889,1029,1921,1053,1930,1078,1938,1106,1934,1132,1929,955,1752,979,1741,1006,1746,1030,1765,1004,1766,976,1764,1158,1773,1183,1756,1211,1758,1238,1773,1212,1780,1184,1780,997,2006,1027,1992,1055,1983,1076,1992,1099,1987,1134,2000,1172,2015,1133,2035,1098,2042,1073,2043,1050,2039,1023,2028,1010,2006,1054,2006,1075,2011,1098,2009,1157,2014,1098,2015,1075,2015,1054,2011
2,h,1,1,820,1592,1354,2127,0.06666666666666667,885,1758,882,1824,887,1889,892,1952,903,2014,931,2068,971,2109,1020,2144,1080,2159,1145,2153,1210,2128,1269,2096,1312,2050,1338,1990,1353,1925,1364,1855,1370,1785,913,1713,937,1678,979,1668,1023,1678,1060,1700,1128,1703,1172,1687,1221,1683,1267,1699,1296,1734,1092,1755,1089,1799,1086,1842,1082,1888,1032,1922,1057,1931,1083,1939,1111,1935,1137,1930,957,1754,980,1742,1008,1745,1032,1764,1007,1765,978,1764,1159,1772,1185,1756,1213,1759,1239,1774,1213,1780,1185,1778,1002,2008,1031,1992,1059,1985,1080,1994,1104,1989,1138,2001,1177,2018,1138,2035,1102,2041,1077,2043,1053,2039,1026,2029,1016,2007,1057,2007,1079,2012,1103,2011,1161,2016,1103,2015,1079,2015,1057,2011
3,h,1,1,820,1652,1354,2187,0.1,883,1754,881,1820,886,1886,892,1950,903,2012,932,2068,972,2112,1019,2150,1077,2166,1141,2160,1205,2135,1261,2102,1304,2055,1332,1997,1348,1931,1360,1862,1368,1791,917,1706,943,1673,984,1666,1027,1678,1061,1703,1139,1704,1180,1685,1227,1681,1270,1695,1297,1730,1098,1756,1093,1799,1088,1842,1083,1887,1033,1920,1056,1930,1082,1938,1111,1933,1138,1928,958,1753,982,1740,1011,1744,1036,1765,1009,1767,980,1765,1161,1772,1189,1755,1218,1757,1244,1773,1218,1780,1189,1779,999,2004,1030,1989,1058,1982,1080,1990,1105,1986,1140,1998,1179,2015,1138,2035,1102,2043,1076,2044,1052,2039,1025,2027,1013,2004,1056,2005,1079,2010,1103,2009,1163,2014,1103,2015,1078,2015,1055,2010
4,h,1,1,820,1652,1354,2187,0.13333333333333333,883,1754,881,1820,886,1886,892,1950,903,2012,932,2068,972,2112,1019,2150,1077,2166,1141,2160,1205,2135,1261,2102,1304,2055,1332,1997,1348,1931,1360,1862,1368,1791,917,1706,943,1673,984,1666,1027,1678,1061,1703,1139,1704,1180,1685,1227,1681,1270,1695,1297,1730,1098,1756,1093,1799,1088,1842,1083,1887,1033,1920,1056,1930,1082,1938,1111,1933,1138,1928,958,1753,982,1740,1011,1744,1036,1765,1009,1767,980,1765,1161,1772,1189,1755,1218,1757,1244,1773,1218,1780,1189,1779,999,2004,1030,1989,1058,1982,1080,1990,1105,1986,1140,1998,1179,2015,1138,2035,1102,2043,1076,2044,1052,2039,1025,2027,1013,2004,1056,2005,1079,2010,1103,2009,1163,2014,1103,2015,1078,2015,1055,2010
5,h,1,1,820,1592,1354,2127,0.16666666666666666,885,1757,881,1822,887,1885,893,1947,904,2009,932,2062,973,2104,1021,2141,1081,2156,1147,2150,1211,2125,1269,2092,1313,2045,1339,1986,1353,1920,1364,1852,1370,1783,915,1709,939,1675,981,1666,1024,1677,1060,1700,1126,1702,1170,1685,1219,1682,1265,1696,1295,1730,1091,1753,1088,1797,1085,1841,1081,1888,1032,1920,1057,1929,1083,1938,1111,1933,1138,1929,955,1750,979,1739,1007,1743,1032,1762,1006,1763,977,1761,1160,1770,1186,1754,1215,1756,1241,1770,1215,1777,1187,1776,1002,2003,1031,1988,1060,1981,1081,1990,1105,1985,1139,1998,1179,2013,1139,2032,1103,2039,1077,2041,1053,2036,1026,2025,1015,2003,1058,2004,1080,2009,1103,2008,1163,2012,1103,2011,1079,2012,1057,2007
6,h,1,1,820,1652,1354,2187,0.2,885,1752,881,1818,886,1883,891,1947,902,2009,931,2064,971,2108,1018,2145,1076,2162,1140,2155,1204,2130,1261,2098,1305,2052,1332,1995,1348,1930,1360,1861,1368,1791,916,1705,941,1672,982,1665,1024,1677,1058,1701,1136,1703,1177,1685,1224,1681,1267,1694,1296,1728,1095,1756,1090,1800,1085,1843,1080,1888,1032,1921,1055,1930,1081,1938,1109,1934,1135,1929,956,1753,981,1740,1010,1745,1034,1766,1007,1768,977,1766,1161,1773,1187,1756,1216,1757,1242,1773,1217,1781,1188,1780,1000,2006,1030,1991,1058,1983,1079,1992,1103,1987,1137,2000,1175,2015,1135,2036,1101,2042,1076,2043,1052,2039,1025,2028,1014,2006,1056,2006,1078,2011,1101,2010,1160,2015,1101,2014,1078,2015,1056,2010
7,h,1,1,820,1652,1354,2187,0.23333333333333334,885,1752,881,1818,886,1883,891,1947,902,2009,931,2064,971,2108,1018,2145,1076,2162,1140,2155,1204,2130,1261,2098,1305,2052,1332,1995,1348,1930,1360,1861,1368,1791,916,1705,941,1672,982,1665,1024,1677,1058,1701,1136,1703,1177,1685,1224,1681,1267,1694,1296,1728,1095,1756,1090,1800,1085,1843,1080,1888,1032,1921,1055,1930,1081,1938,1109,1934,1135,1929,956,1753,981,1740,1010,1745,1034,1766,1007,1768,977,1766,1161,1773,1187,1756,1216,1757,1242,1773,1217,1781,1188,1780,1000,2006,1030,1991,1058,1983,1079,1992,1103,1987,1137,2000,1175,2015,1135,2036,1101,2042,1076,2043,1052,2039,1025,2028,1014,2006,1056,2006,1078,2011,1101,2010,1160,2015,1101,2014,1078,2015,1056,2010
8,h,1,1,820,1592,1354,2127,0.26666666666666666,884,1756,879,1822,884,1885,889,1948,900,2010,927,2064,966,2105,1013,2142,1073,2160,1140,2154,1205,2129,1264,2096,1309,2048,1335,1988,1352,1923,1364,1854,1369,1785,912,1710,935,1676,977,1666,1020,1675,1056,1698,1122,1703,1167,1686,1216,1683,1263,1698,1293,1734,1086,1755,1083,1798,1079,1841,1075,1886,1027,1921,1051,1931,1078,1939,1106,1934,1133,1929,952,1750,976,1738,1004,1742,1030,1762,1002,1763,973,1761,1156,1771,1182,1754,1211,1756,1239,1771,1211,1778,1182,1777,997,2004,1026,1990,1055,1982,1076,1992,1100,1987,1135,2000,1174,2016,1134,2034,1097,2041,1072,2043,1047,2038,1021,2027,1011,2005,1053,2006,1075,2011,1099,2010,1159,2015,1098,2014,1074,2014,1051,2009
9,h,1,1,820,1592,1354,2127,0.3,882,1755,876,1820,880,1883,886,1944,897,2006,924,2060,963,2103,1010,2141,1071,2159,1138,2154,1203,2130,1262,2097,1306,2050,1333,1991,1350,1925,1362,1855,1368,1786,911,1705,935,1672,976,1664,1018,1675,1053,1698,1123,1701,1167,1684,1215,1680,1261,1695,1290,1730,1086,1752,1082,1796,1078,1840,1074,1886,1026,1920,1050,1929,1076,1937,1104,1933,1131,1928,951,1748,974,1737,1001,1741,1027,1760,1000,1760,972,1758,1153,1769,1180,1753,1208,1756,1235,1770,1208,1776,1180,1775,996,2003,1025,1989,1053,1982,1074,1991,1097,1986,1132,1999,1172,2015,1131,2033,1096,2040,1071,2041,1047,2036,1020,2025,1010,2003,1052,2004,1073,2009,1096,2008,1157,2013,1096,2013,1073,2013,1051,2008
10,h,1,1,820,1592,1354,2127,0.3333333333333333,879,1751,874,1815,878,1879,883,1941,894,2003,921,2058,961,2101,1007,2139,1067,2158,1133,2153,1199,2129,1259,2096,1305,2048,1333,1989,1350,1923,1363,1852,1370,1781,911,1705,933,1672,975,1664,1016,1673,1052,1696,1118,1701,1163,1684,1213,1681,1260,1696,1290,1731,1082,1751,1078,1795,1074,1838,1070,1884,1022,1918,1046,1928,1071,1936,1100,1932,1127,1927,949,1746,972,1735,999,1739,1024,1758,997,1758,969,1756,1152,1768,1178,1752,1206,1754,1234,1768,1206,1775,1178,1774,993,2001,1021,1987,1049,1980,1070,1990,1094,1985,1128,1998,1168,2015,1127,2032,1091,2039,1066,2041,1042,2036,1015,2024,1007,2001,1047,2002,1069,2008,1092,2007,1153,2013,1092,2013,1068,2012,1046,2007
