index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,mark_0_x,mark_0_y,mark_1_x,mark_1_y,mark_2_x,mark_2_y,mark_3_x,mark_3_y,mark_4_x,mark_4_y,mark_5_x,mark_5_y,mark_6_x,mark_6_y,mark_7_x,mark_7_y,mark_8_x,mark_8_y,mark_9_x,mark_9_y,mark_10_x,mark_10_y,mark_11_x,mark_11_y,mark_12_x,mark_12_y,mark_13_x,mark_13_y,mark_14_x,mark_14_y,mark_15_x,mark_15_y,mark_16_x,mark_16_y,mark_17_x,mark_17_y,mark_18_x,mark_18_y,mark_19_x,mark_19_y,mark_20_x,mark_20_y,mark_21_x,mark_21_y,mark_22_x,mark_22_y,mark_23_x,mark_23_y,mark_24_x,mark_24_y,mark_25_x,mark_25_y,mark_26_x,mark_26_y,mark_27_x,mark_27_y,mark_28_x,mark_28_y,mark_29_x,mark_29_y,mark_30_x,mark_30_y,mark_31_x,mark_31_y,mark_32_x,mark_32_y,mark_33_x,mark_33_y,mark_34_x,mark_34_y,mark_35_x,mark_35_y,mark_36_x,mark_36_y,mark_37_x,mark_37_y,mark_38_x,mark_38_y,mark_39_x,mark_39_y,mark_40_x,mark_40_y,mark_41_x,mark_41_y,mark_42_x,mark_42_y,mark_43_x,mark_43_y,mark_44_x,mark_44_y,mark_45_x,mark_45_y,mark_46_x,mark_46_y,mark_47_x,mark_47_y,mark_48_x,mark_48_y,mark_49_x,mark_49_y,mark_50_x,mark_50_y,mark_51_x,mark_51_y,mark_52_x,mark_52_y,mark_53_x,mark_53_y,mark_54_x,mark_54_y,mark_55_x,mark_55_y,mark_56_x,mark_56_y,mark_57_x,mark_57_y,mark_58_x,mark_58_y,mark_59_x,mark_59_y,mark_60_x,mark_60_y,mark_61_x,mark_61_y,mark_62_x,mark_62_y,mark_63_x,mark_63_y,mark_64_x,mark_64_y,mark_65_x,mark_65_y,mark_66_x,mark_66_y,mark_67_x,mark_67_y
1,h,1,1,782,1525,1228,1971,0.03333333333333333,838,1684,830,1730,827,1778,829,1826,833,1872,849,1914,874,1947,907,1974,955,1988,1012,1992,1071,1984,1131,1965,1182,1932,1217,1888,1236,1835,1250,1777,1260,1720,853,1609,870,1570,906,1550,946,1548,980,1568,1032,1569,1073,1549,1124,1552,1169,1582,1192,1631,998,1627,991,1656,984,1683,976,1714,936,1762,955,1768,977,1775,1003,1772,1030,1768,881,1654,900,1639,927,1639,951,1658,924,1659,899,1659,1062,1661,1090,1644,1118,1646,1141,1664,1116,1667,1088,1665,900,1851,927,1825,954,1810,971,1817,990,1812,1022,1831,1059,1863,1017,1873,987,1875,967,1874,947,1871,925,1863,914,1849,952,1841,971,1843,990,1843,1043,1860,988,1847,969,1846,950,1843
2,h,1,1,782,1525,1228,1971,0.06666666666666667,826,1669,819,1715,816,1762,820,1808,825,1854,841,1897,865,1931,897,1962,946,1979,1006,1983,1068,1972,1127,1953,1177,1921,1211,1878,1229,1823,1243,1764,1256,1707,848,1596,865,1558,902,1540,942,1542,975,1561,1034,1564,1075,1545,1125,1547,1168,1574,1189,1622,995,1622,987,1649,978,1676,968,1705,929,1751,948,1757,969,1764,996,1762,1023,1759,877,1641,895,1620,922,1621,945,1645,919,1647,894,1647,1059,1652,1082,1630,1109,1631,1133,1654,1109,1658,1081,1656,889,1844,913,1814,942,1797,960,1805,981,1801,1014,1821,1051,1858,1008,1864,976,1866,955,1865,934,1861,912,1852,905,1841,939,1831,959,1834,980,1835,1033,1854,979,1836,958,1835,938,1832
3,h,1,1,782,1475,1228,1921,0.1,818,1666,807,1710,805,1758,812,1805,823,1850,837,1889,861,1921,891,1944,939,1958,998,1964,1056,1958,1113,1944,1164,1918,1202,1878,1225,1825,1238,1770,1249,1716,850,1584,868,1549,904,1530,945,1528,979,1550,1039,1559,1078,1538,1127,1540,1169,1564,1191,1609,998,1616,991,1641,982,1665,974,1691,934,1743,953,1747,973,1754,997,1753,1021,1752,875,1633,894,1612,921,1613,945,1635,919,1638,893,1638,1059,1641,1084,1621,1112,1623,1135,1644,1111,1647,1082,1645,892,1833,916,1803,945,1788,963,1795,981,1793,1013,1812,1049,1848,1006,1854,975,1855,955,1854,935,1850,912,1841,905,1829,942,1820,961,1823,980,1825,1033,1843,977,1826,959,1825,940,1822
4,h,1,1,782,1475,1228,1921,0.13333333333333333,818,1666,807,1710,805,1758,812,1805,823,1850,837,1889,861,1921,891,1944,939,1958,998,1964,1056,1958,1113,1944,1164,1918,1202,1878,1225,1825,1238,1770,1249,1716,850,1584,868,1549,904,1530,945,1528,979,1550,1039,1559,1078,1538,1127,1540,1169,1564,1191,1609,998,1616,991,1641,982,1665,974,1691,934,1743,953,1747,973,1754,997,1753,1021,1752,875,1633,894,1612,921,1613,945,1635,919,1638,893,1638,1059,1641,1084,1621,1112,1623,1135,1644,1111,1647,1082,1645,892,1833,916,1803,945,1788,963,1795,981,1793,1013,1812,1049,1848,1006,1854,975,1855,955,1854,935,1850,912,1841,905,1829,942,1820,961,1823,980,1825,1033,1843,977,1826,959,1825,940,1822
5,h,1,1,782,1475,1228,1921,0.16666666666666666,818,1655,808,1701,803,1748,810,1794,819,1838,834,1877,855,1908,884,1935,930,1951,989,1959,1047,1957,1106,1945,1159,1920,1200,1881,1225,1826,1240,1768,1252,1714,851,1575,871,1542,906,1526,943,1527,978,1545,1046,1556,1084,1537,1131,1539,1173,1562,1193,1607,1000,1612,993,1637,984,1660,975,1686,934,1737,953,1740,973,1746,998,1746,1023,1746,878,1629,898,1614,923,1614,946,1633,921,1635,895,1634,1065,1641,1090,1625,1118,1628,1142,1647,1116,1649,1087,1646,890,1828,914,1798,943,1782,961,1789,979,1787,1011,1809,1045,1846,1004,1850,972,1851,952,1848,932,1844,911,1835,903,1824,940,1815,959,1818,977,1822,1029,1840,975,1821,957,1818,937,1814
6,h,1,1,760,1414,1295,1949,0.2,844,1669,831,1710,822,1754,826,1798,834,1839,846,1877,867,1907,893,1933,940,1949,1001,1956,1062,1952,1128,1946,1188,1928,1231,1893,1256,1838,1267,1781,1276,1726,872,1570,889,1537,925,1522,960,1526,992,1547,1051,1555,1092,1536,1141,1538,1185,1564,1209,1608,1005,1607,995,1630,984,1651,972,1674,935,1724,955,1729,975,1736,999,1735,1027,1733,893,1628,910,1611,935,1611,959,1629,934,1631,908,1631,1071,1637,1094,1619,1122,1623,1145,1643,1119,1642,1092,1638,894,1819,920,1790,948,1777,965,1783,982,1781,1015,1801,1052,1837,1006,1842,974,1842,956,1839,938,1836,917,1830,908,1816,947,1807,964,1807,980,1811,1035,1832,977,1814,961,1811,944,1810
7,h,1,1,760,1414,1295,1949,0.23333333333333334,844,1669,831,1710,822,1754,826,1798,834,1839,846,1877,867,1907,893,1933,940,1949,1001,1956,1062,1952,1128,1946,1188,1928,1231,1893,1256,1838,1267,1781,1276,1726,872,1570,889,1537,925,1522,960,1526,992,1547,1051,1555,1092,1536,1141,1538,1185,1564,1209,1608,1005,1607,995,1630,984,1651,972,1674,935,1724,955,1729,975,1736,999,1735,1027,1733,893,1628,910,1611,935,1611,959,1629,934,1631,908,1631,1071,1637,1094,1619,1122,1623,1145,1643,1119,1642,1092,1638,894,1819,920,1790,948,1777,965,1783,982,1781,1015,1801,1052,1837,1006,1842,974,1842,956,1839,938,1836,917,1830,908,1816,947,1807,964,1807,980,1811,1035,1832,977,1814,961,1811,944,1810
8,h,1,1,782,1475,1228,1921,0.26666666666666666,829,1655,820,1701,816,1751,823,1797,834,1839,847,1877,869,1908,900,1931,950,1943,1007,1947,1061,1943,1116,1930,1166,1907,1206,1868,1230,1814,1244,1757,1255,1705,867,1561,885,1529,920,1515,956,1520,989,1542,1048,1558,1087,1541,1131,1537,1173,1554,1197,1592,1006,1600,1000,1625,992,1648,984,1673,943,1727,962,1730,983,1736,1008,1735,1034,1732,893,1618,913,1600,938,1600,960,1622,935,1622,910,1621,1071,1630,1097,1613,1125,1617,1147,1638,1122,1638,1095,1634,901,1819,926,1791,953,1774,971,1780,987,1777,1017,1798,1054,1835,1012,1839,981,1837,964,1835,945,1833,923,1825,915,1816,952,1803,970,1804,986,1807,1035,1830,984,1808,968,1805,949,1803
9,h,1,1,782,1475,1228,1921,0.3,819,1647,815,1697,817,1744,826,1792,837,1834,850,1871,875,1903,910,1925,959,1935,1017,1940,1074,1937,1131,1924,1179,1895,1215,1853,1238,1796,1250,1739,1258,1686,842,1564,862,1532,902,1524,940,1532,974,1551,1057,1561,1097,1543,1143,1536,1186,1553,1212,1590,1010,1601,1005,1626,1000,1648,994,1674,949,1723,971,1729,992,1735,1017,1735,1039,1733,871,1616,896,1602,924,1604,950,1625,923,1624,894,1624,1078,1631,1108,1613,1137,1617,1162,1636,1135,1638,1106,1634,899,1811,928,1785,959,1772,979,1780,1000,1778,1031,1799,1066,1836,1022,1840,989,1837,966,1834,945,1830,920,1819,914,1808,956,1801,977,1805,999,1808,1048,1830,993,1807,971,1804,951,1799
10,h,1,1,782,1475,1228,1921,0.3333333333333333,841,1652,831,1697,827,1744,829,1792,838,1835,851,1876,874,1909,908,1930,954,1942,1010,1949,1064,1946,1118,1931,1166,1904,1204,1866,1227,1816,1242,1762,1253,1711,874,1581,898,1550,936,1538,975,1545,1009,1564,1052,1571,1089,1557,1133,1555,1174,1572,1199,1606,1019,1606,1012,1628,1004,1649,995,1674,954,1721,971,1727,991,1734,1016,1733,1041,1732,901,1621,920,1607,945,1606,966,1623,943,1624,920,1625,1082,1631,1109,1616,1135,1620,1158,1636,1131,1638,1106,1634,908,1808,933,1780,962,1765,979,1773,999,1771,1031,1794,1062,1832,1022,1837,989,1836,967,1833,948,1828,927,1818,923,1804,958,1796,976,1801,997,1803,1046,1827,993,1805,973,1803,954,1798
