index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,mark_0_x,mark_0_y,mark_1_x,mark_1_y,mark_2_x,mark_2_y,mark_3_x,mark_3_y,mark_4_x,mark_4_y,mark_5_x,mark_5_y,mark_6_x,mark_6_y,mark_7_x,mark_7_y,mark_8_x,mark_8_y,mark_9_x,mark_9_y,mark_10_x,mark_10_y,mark_11_x,mark_11_y,mark_12_x,mark_12_y,mark_13_x,mark_13_y,mark_14_x,mark_14_y,mark_15_x,mark_15_y,mark_16_x,mark_16_y,mark_17_x,mark_17_y,mark_18_x,mark_18_y,mark_19_x,mark_19_y,mark_20_x,mark_20_y,mark_21_x,mark_21_y,mark_22_x,mark_22_y,mark_23_x,mark_23_y,mark_24_x,mark_24_y,mark_25_x,mark_25_y,mark_26_x,mark_26_y,mark_27_x,mark_27_y,mark_28_x,mark_28_y,mark_29_x,mark_29_y,mark_30_x,mark_30_y,mark_31_x,mark_31_y,mark_32_x,mark_32_y,mark_33_x,mark_33_y,mark_34_x,mark_34_y,mark_35_x,mark_35_y,mark_36_x,mark_36_y,mark_37_x,mark_37_y,mark_38_x,mark_38_y,mark_39_x,mark_39_y,mark_40_x,mark_40_y,mark_41_x,mark_41_y,mark_42_x,mark_42_y,mark_43_x,mark_43_y,mark_44_x,mark_44_y,mark_45_x,mark_45_y,mark_46_x,mark_46_y,mark_47_x,mark_47_y,mark_48_x,mark_48_y,mark_49_x,mark_49_y,mark_50_x,mark_50_y,mark_51_x,mark_51_y,mark_52_x,mark_52_y,mark_53_x,mark_53_y,mark_54_x,mark_54_y,mark_55_x,mark_55_y,mark_56_x,mark_56_y,mark_57_x,mark_57_y,mark_58_x,mark_58_y,mark_59_x,mark_59_y,mark_60_x,mark_60_y,mark_61_x,mark_61_y,mark_62_x,mark_62_y,mark_63_x,mark_63_y,mark_64_x,mark_64_y,mark_65_x,mark_65_y,mark_66_x,mark_66_y,mark_67_x,mark_67_y
6,h,1,1,732,2218,1178,2664,0.2,719,2359,725,2418,735,2478,748,2536,775,2588,809,2632,853,2666,905,2687,959,2687,1005,2675,1040,2648,1069,2610,1088,2568,1101,2525,1110,2479,1116,2433,1114,2385,793,2314,821,2281,865,2268,910,2267,947,2283,993,2290,1025,2279,1059,2279,1091,2289,1103,2321,972,2330,976,2361,981,2392,986,2424,925,2452,949,2458,974,2465,998,2458,1020,2451,833,2341,861,2326,887,2327,907,2348,884,2349,858,2348,1015,2349,1037,2333,1059,2332,1075,2347,1061,2351,1037,2351,861,2511,910,2504,951,2503,974,2507,998,2503,1024,2507,1046,2519,1021,2556,992,2571,969,2574,944,2572,903,2556,875,2515,950,2516,974,2519,996,2517,1034,2522,993,2548,970,2551,946,2549
7,h,1,1,732,2218,1178,2664,0.23333333333333334,719,2359,725,2418,735,2478,748,2536,775,2588,809,2632,853,2666,905,2687,959,2687,1005,2675,1040,2648,1069,2610,1088,2568,1101,2525,1110,2479,1116,2433,1114,2385,793,2314,821,2281,865,2268,910,2267,947,2283,993,2290,1025,2279,1059,2279,1091,2289,1103,2321,972,2330,976,2361,981,2392,986,2424,925,2452,949,2458,974,2465,998,2458,1020,2451,833,2341,861,2326,887,2327,907,2348,884,2349,858,2348,1015,2349,1037,2333,1059,2332,1075,2347,1061,2351,1037,2351,861,2511,910,2504,951,2503,974,2507,998,2503,1024,2507,1046,2519,1021,2556,992,2571,969,2574,944,2572,903,2556,875,2515,950,2516,974,2519,996,2517,1034,2522,993,2548,970,2551,946,2549
8,h,1,1,732,2218,1178,2664,0.26666666666666666,702,2397,709,2453,720,2508,735,2561,762,2613,801,2652,855,2680,913,2698,970,2694,1016,2674,1048,2639,1077,2599,1094,2552,1101,2505,1106,2455,1102,2417,1094,2376,777,2370,802,2331,846,2310,896,2308,946,2314,985,2311,1013,2295,1045,2289,1074,2295,1089,2322,964,2358,972,2384,982,2409,992,2437,934,2482,960,2483,985,2485,1005,2477,1022,2466,826,2393,850,2378,878,2372,906,2384,879,2394,851,2398,997,2364,1018,2349,1042,2345,1061,2355,1044,2364,1020,2366,870,2552,915,2538,955,2527,977,2527,994,2519,1016,2519,1035,2526,1017,2550,998,2565,980,2572,956,2575,916,2569,882,2551,955,2541,978,2539,995,2532,1024,2529,996,2544,979,2553,955,2555
9,h,1,1,732,2218,1178,2664,0.3,719,2389,724,2443,731,2499,743,2553,765,2605,798,2647,844,2678,894,2698,946,2699,992,2685,1029,2654,1062,2616,1085,2571,1096,2525,1105,2479,1108,2438,1105,2397,795,2363,820,2331,859,2314,903,2315,947,2325,994,2326,1022,2314,1052,2310,1080,2319,1091,2346,968,2380,973,2405,980,2429,986,2456,927,2496,953,2498,976,2502,997,2497,1017,2490,835,2399,861,2388,888,2385,914,2397,889,2404,861,2405,1001,2387,1022,2372,1046,2371,1067,2381,1048,2389,1024,2389,864,2554,907,2543,946,2534,968,2536,988,2531,1010,2534,1030,2542,1008,2569,988,2583,967,2587,944,2586,906,2575,878,2554,946,2550,968,2551,988,2546,1019,2544,988,2561,967,2567,944,2566
10,h,1,1,732,2218,1178,2664,0.3333333333333333,707,2402,714,2457,724,2517,738,2570,764,2620,801,2656,849,2682,902,2695,957,2691,1004,2674,1033,2642,1059,2606,1078,2566,1086,2524,1094,2479,1091,2441,1087,2404,793,2385,814,2344,859,2319,910,2316,959,2327,997,2326,1025,2312,1056,2308,1081,2321,1088,2353,976,2372,983,2395,991,2416,999,2440,934,2484,964,2486,990,2491,1015,2483,1034,2471,843,2401,866,2390,891,2385,917,2393,894,2400,868,2404,1003,2379,1025,2367,1045,2367,1062,2377,1045,2380,1025,2379,869,2542,916,2532,954,2527,979,2529,999,2522,1018,2519,1033,2526,1014,2541,995,2553,975,2557,950,2559,912,2556,881,2540,955,2537,980,2536,1000,2532,1023,2529,995,2537,975,2544,950,2546
11,h,1,1,732,2218,1178,2664,0.36666666666666664,707,2402,714,2457,724,2517,738,2570,764,2620,801,2656,849,2682,902,2695,957,2691,1004,2674,1033,2642,1059,2606,1078,2566,1086,2524,1094,2479,1091,2441,1087,2404,793,2385,814,2344,859,2319,910,2316,959,2327,997,2326,1025,2312,1056,2308,1081,2321,1088,2353,976,2372,983,2395,991,2416,999,2440,934,2484,964,2486,990,2491,1015,2483,1034,2471,843,2401,866,2390,891,2385,917,2393,894,2400,868,2404,1003,2379,1025,2367,1045,2367,1062,2377,1045,2380,1025,2379,869,2542,916,2532,954,2527,979,2529,999,2522,1018,2519,1033,2526,1014,2541,995,2553,975,2557,950,2559,912,2556,881,2540,955,2537,980,2536,1000,2532,1023,2529,995,2537,975,2544,950,2546
12,h,1,1,732,2218,1178,2664,0.4,696,2397,705,2452,718,2509,735,2561,763,2611,803,2650,855,2679,914,2696,972,2691,1021,2672,1054,2638,1080,2597,1095,2552,1100,2504,1103,2454,1102,2412,1098,2369,770,2370,794,2332,840,2311,890,2309,942,2315,976,2309,1006,2295,1038,2288,1068,2292,1085,2320,959,2358,969,2382,979,2403,990,2428,932,2479,959,2480,984,2481,1005,2471,1022,2460,819,2396,845,2382,872,2375,900,2385,874,2395,846,2400,993,2365,1015,2349,1039,2345,1058,2355,1041,2363,1017,2365,871,2547,917,2535,955,2526,979,2526,999,2517,1020,2514,1039,2518,1020,2542,1002,2558,982,2565,957,2568,917,2565,885,2547,956,2538,980,2536,1000,2529,1027,2523,999,2538,980,2548,955,2550
13,h,1,1,732,2218,1178,2664,0.43333333333333335,701,2401,709,2457,720,2514,735,2568,766,2618,806,2656,859,2685,914,2700,967,2695,1010,2675,1039,2639,1065,2601,1083,2558,1092,2513,1098,2464,1097,2426,1092,2385,781,2378,806,2343,849,2320,897,2317,946,2323,989,2317,1017,2305,1049,2301,1076,2310,1088,2338,967,2371,975,2397,984,2421,992,2448,931,2488,959,2489,985,2492,1008,2485,1028,2475,829,2398,855,2386,881,2381,908,2390,884,2399,856,2402,999,2374,1022,2358,1044,2356,1062,2365,1045,2372,1022,2372,868,2549,915,2537,955,2527,978,2528,997,2521,1019,2520,1037,2525,1019,2554,1001,2573,981,2580,957,2583,915,2575,882,2549,957,2542,979,2541,999,2535,1024,2530,999,2551,979,2560,956,2563
14,h,1,1,732,2218,1178,2664,0.4666666666666667,711,2405,720,2455,732,2507,747,2558,770,2607,806,2648,851,2679,907,2696,964,2693,1013,2674,1048,2638,1077,2594,1092,2547,1099,2498,1102,2450,1099,2407,1092,2365,767,2367,790,2335,830,2316,875,2311,922,2316,968,2311,997,2296,1030,2290,1060,2294,1080,2317,947,2365,954,2391,963,2415,971,2443,921,2484,946,2487,971,2490,993,2479,1010,2465,816,2396,839,2384,865,2377,892,2385,866,2396,840,2400,986,2367,1007,2351,1030,2347,1050,2354,1032,2363,1008,2366,866,2545,907,2535,943,2527,968,2526,986,2519,1009,2516,1032,2519,1011,2542,991,2558,971,2566,946,2569,907,2565,879,2545,945,2540,970,2539,988,2533,1019,2523,988,2538,970,2547,944,2549
15,h,1,1,732,2218,1178,2664,0.5,711,2405,720,2455,732,2507,747,2558,770,2607,806,2648,851,2679,907,2696,964,2693,1013,2674,1048,2638,1077,2594,1092,2547,1099,2498,1102,2450,1099,2407,1092,2365,767,2367,790,2335,830,2316,875,2311,922,2316,968,2311,997,2296,1030,2290,1060,2294,1080,2317,947,2365,954,2391,963,2415,971,2443,921,2484,946,2487,971,2490,993,2479,1010,2465,816,2396,839,2384,865,2377,892,2385,866,2396,840,2400,986,2367,1007,2351,1030,2347,1050,2354,1032,2363,1008,2366,866,2545,907,2535,943,2527,968,2526,986,2519,1009,2516,1032,2519,1011,2542,991,2558,971,2566,946,2569,907,2565,879,2545,945,2540,970,2539,988,2533,1019,2523,988,2538,970,2547,944,2549
