index,detector,total_face_num,center_face_num,target_left,target_top,target_right,target_bottom,time_stamp,mark_0_x,mark_0_y,mark_1_x,mark_1_y,mark_2_x,mark_2_y,mark_3_x,mark_3_y,mark_4_x,mark_4_y,mark_5_x,mark_5_y,mark_6_x,mark_6_y,mark_7_x,mark_7_y,mark_8_x,mark_8_y,mark_9_x,mark_9_y,mark_10_x,mark_10_y,mark_11_x,mark_11_y,mark_12_x,mark_12_y,mark_13_x,mark_13_y,mark_14_x,mark_14_y,mark_15_x,mark_15_y,mark_16_x,mark_16_y,mark_17_x,mark_17_y,mark_18_x,mark_18_y,mark_19_x,mark_19_y,mark_20_x,mark_20_y,mark_21_x,mark_21_y,mark_22_x,mark_22_y,mark_23_x,mark_23_y,mark_24_x,mark_24_y,mark_25_x,mark_25_y,mark_26_x,mark_26_y,mark_27_x,mark_27_y,mark_28_x,mark_28_y,mark_29_x,mark_29_y,mark_30_x,mark_30_y,mark_31_x,mark_31_y,mark_32_x,mark_32_y,mark_33_x,mark_33_y,mark_34_x,mark_34_y,mark_35_x,mark_35_y,mark_36_x,mark_36_y,mark_37_x,mark_37_y,mark_38_x,mark_38_y,mark_39_x,mark_39_y,mark_40_x,mark_40_y,mark_41_x,mark_41_y,mark_42_x,mark_42_y,mark_43_x,mark_43_y,mark_44_x,mark_44_y,mark_45_x,mark_45_y,mark_46_x,mark_46_y,mark_47_x,mark_47_y,mark_48_x,mark_48_y,mark_49_x,mark_49_y,mark_50_x,mark_50_y,mark_51_x,mark_51_y,mark_52_x,mark_52_y,mark_53_x,mark_53_y,mark_54_x,mark_54_y,mark_55_x,mark_55_y,mark_56_x,mark_56_y,mark_57_x,mark_57_y,mark_58_x,mark_58_y,mark_59_x,mark_59_y,mark_60_x,mark_60_y,mark_61_x,mark_61_y,mark_62_x,mark_62_y,mark_63_x,mark_63_y,mark_64_x,mark_64_y,mark_65_x,mark_65_y,mark_66_x,mark_66_y,mark_67_x,mark_67_y
1,h,1,1,879,1057,1414,1592,0.03333333333333333,900,1199,894,1272,895,1348,902,1422,925,1490,964,1547,1022,1591,1091,1623,1167,1635,1238,1625,1300,1592,1352,1549,1390,1491,1415,1424,1430,1353,1438,1283,1439,1213,961,1137,1000,1105,1051,1095,1106,1101,1152,1124,1222,1126,1269,1107,1321,1105,1370,1120,1402,1155,1185,1187,1185,1231,1184,1274,1184,1320,1114,1362,1146,1372,1180,1381,1214,1374,1245,1366,1012,1183,1045,1169,1078,1171,1107,1197,1075,1197,1042,1194,1255,1203,1285,1179,1316,1180,1345,1197,1318,1205,1287,1206,1062,1461,1108,1441,1150,1431,1178,1440,1207,1432,1245,1444,1285,1461,1243,1484,1206,1496,1176,1498,1145,1496,1105,1486,1079,1461,1148,1460,1177,1463,1206,1461,1268,1460,1206,1461,1176,1464,1148,1462
2,h,1,1,938,1057,1473,1592,0.06666666666666667,910,1188,904,1261,905,1336,911,1411,931,1481,970,1540,1028,1586,1097,1620,1173,1633,1245,1623,1307,1591,1358,1549,1396,1492,1420,1426,1437,1355,1448,1284,1451,1214,972,1137,1013,1106,1066,1096,1123,1107,1172,1135,1240,1142,1285,1120,1337,1111,1386,1121,1420,1155,1197,1187,1195,1230,1193,1273,1192,1318,1123,1361,1154,1371,1189,1380,1223,1373,1255,1364,1026,1182,1058,1167,1091,1169,1121,1194,1087,1195,1054,1193,1267,1199,1296,1176,1328,1177,1357,1194,1329,1203,1296,1203,1074,1463,1118,1442,1159,1431,1188,1440,1214,1431,1251,1443,1295,1463,1251,1485,1214,1495,1187,1497,1156,1495,1116,1487,1092,1462,1157,1460,1187,1463,1213,1461,1276,1461,1214,1461,1187,1463,1158,1461
3,h,1,1,938,1057,1473,1592,0.1,919,1202,914,1274,915,1347,921,1421,943,1490,984,1547,1043,1589,1111,1621,1184,1632,1255,1621,1317,1588,1367,1546,1405,1489,1430,1424,1444,1353,1453,1282,1454,1212,981,1137,1019,1104,1072,1094,1127,1104,1173,1129,1232,1127,1278,1104,1332,1098,1383,1115,1415,1153,1200,1185,1199,1229,1199,1272,1199,1318,1130,1362,1161,1371,1195,1380,1228,1373,1260,1366,1031,1184,1061,1169,1094,1171,1123,1198,1090,1198,1058,1195,1272,1202,1300,1179,1330,1178,1358,1195,1332,1204,1301,1205,1079,1461,1124,1441,1165,1430,1194,1439,1221,1431,1258,1443,1300,1461,1257,1482,1221,1493,1193,1496,1162,1494,1122,1485,1096,1460,1163,1458,1193,1461,1221,1459,1283,1459,1221,1460,1193,1462,1164,1460
4,h,1,1,938,1057,1473,1592,0.13333333333333333,919,1202,914,1274,915,1347,921,1421,943,1490,984,1547,1043,1589,1111,1621,1184,1632,1255,1621,1317,1588,1367,1546,1405,1489,1430,1424,1444,1353,1453,1282,1454,1212,981,1137,1019,1104,1072,1094,1127,1104,1173,1129,1232,1127,1278,1104,1332,1098,1383,1115,1415,1153,1200,1185,1199,1229,1199,1272,1199,1318,1130,1362,1161,1371,1195,1380,1228,1373,1260,1366,1031,1184,1061,1169,1094,1171,1123,1198,1090,1198,1058,1195,1272,1202,1300,1179,1330,1178,1358,1195,1332,1204,1301,1205,1079,1461,1124,1441,1165,1430,1194,1439,1221,1431,1258,1443,1300,1461,1257,1482,1221,1493,1193,1496,1162,1494,1122,1485,1096,1460,1163,1458,1193,1461,1221,1459,1283,1459,1221,1460,1193,1462,1164,1460
5,h,1,1,938,1057,1473,1592,0.16666666666666666,920,1200,915,1271,915,1344,920,1417,941,1486,981,1543,1039,1587,1107,1619,1180,1632,1251,1622,1312,1590,1364,1549,1403,1493,1429,1428,1445,1358,1455,1287,1458,1218,982,1134,1019,1103,1071,1095,1123,1105,1170,1128,1237,1133,1284,1116,1337,1110,1386,1122,1420,1157,1200,1188,1199,1230,1197,1272,1196,1317,1129,1361,1160,1370,1193,1379,1226,1373,1258,1366,1034,1181,1064,1166,1097,1169,1124,1197,1092,1196,1060,1193,1272,1203,1299,1178,1331,1178,1359,1196,1332,1205,1300,1206,1079,1461,1122,1441,1164,1431,1193,1440,1219,1431,1259,1444,1302,1462,1258,1485,1219,1496,1191,1498,1161,1496,1121,1486,1096,1460,1162,1458,1192,1462,1219,1459,1285,1460,1219,1462,1192,1464,1163,1461
6,h,1,1,938,1057,1473,1592,0.2,913,1198,909,1272,911,1345,918,1421,942,1488,982,1547,1042,1590,1110,1621,1184,1633,1254,1622,1314,1590,1364,1548,1402,1492,1428,1428,1443,1357,1453,1285,1456,1214,973,1143,1011,1108,1063,1094,1120,1098,1169,1122,1232,1120,1283,1102,1339,1098,1391,1117,1423,1159,1200,1184,1199,1228,1199,1271,1199,1316,1131,1361,1162,1370,1196,1379,1228,1372,1259,1365,1027,1183,1059,1168,1092,1169,1122,1195,1089,1195,1055,1193,1272,1200,1302,1178,1333,1178,1361,1196,1334,1204,1302,1204,1079,1462,1123,1442,1165,1431,1193,1440,1221,1431,1260,1444,1302,1463,1259,1484,1221,1495,1193,1497,1163,1495,1122,1486,1096,1461,1163,1458,1193,1461,1220,1458,1286,1460,1221,1462,1193,1464,1164,1462
7,h,1,1,938,1057,1473,1592,0.23333333333333334,913,1198,909,1272,911,1345,918,1421,942,1488,982,1547,1042,1590,1110,1621,1184,1633,1254,1622,1314,1590,1364,1548,1402,1492,1428,1428,1443,1357,1453,1285,1456,1214,973,1143,1011,1108,1063,1094,1120,1098,1169,1122,1232,1120,1283,1102,1339,1098,1391,1117,1423,1159,1200,1184,1199,1228,1199,1271,1199,1316,1131,1361,1162,1370,1196,1379,1228,1372,1259,1365,1027,1183,1059,1168,1092,1169,1122,1195,1089,1195,1055,1193,1272,1200,1302,1178,1333,1178,1361,1196,1334,1204,1302,1204,1079,1462,1123,1442,1165,1431,1193,1440,1221,1431,1260,1444,1302,1463,1259,1484,1221,1495,1193,1497,1163,1495,1122,1486,1096,1461,1163,1458,1193,1461,1220,1458,1286,1460,1221,1462,1193,1464,1164,1462
8,h,1,1,938,1057,1473,1592,0.26666666666666666,918,1199,913,1272,913,1345,920,1419,941,1487,980,1545,1039,1589,1107,1620,1182,1633,1254,1623,1315,1591,1366,1549,1405,1491,1431,1426,1446,1356,1455,1286,1457,1217,982,1138,1020,1107,1070,1098,1122,1107,1168,1130,1240,1134,1287,1118,1338,1113,1386,1123,1419,1157,1201,1189,1200,1232,1198,1274,1197,1318,1130,1362,1161,1372,1195,1380,1227,1374,1258,1367,1033,1185,1063,1169,1096,1172,1124,1197,1091,1198,1059,1196,1274,1203,1302,1180,1334,1180,1361,1199,1334,1208,1303,1207,1078,1463,1122,1443,1164,1431,1193,1440,1221,1432,1259,1444,1301,1463,1259,1484,1222,1494,1192,1497,1160,1495,1120,1486,1095,1462,1162,1459,1193,1463,1221,1460,1283,1462,1222,1462,1193,1464,1163,1461
9,h,1,1,938,1057,1473,1592,0.3,910,1191,907,1266,909,1343,918,1419,941,1488,981,1548,1040,1593,1107,1623,1182,1635,1255,1623,1317,1593,1367,1549,1404,1491,1429,1425,1444,1353,1454,1281,1455,1210,971,1125,1008,1088,1061,1074,1117,1083,1162,1114,1239,1117,1284,1094,1337,1086,1386,1103,1417,1143,1201,1180,1200,1225,1200,1270,1199,1317,1131,1363,1163,1372,1197,1380,1230,1374,1260,1366,1026,1180,1058,1168,1092,1169,1122,1190,1089,1192,1055,1190,1272,1197,1302,1178,1333,1179,1361,1194,1333,1203,1302,1202,1080,1463,1124,1442,1167,1431,1196,1440,1223,1432,1260,1444,1299,1463,1259,1485,1223,1497,1195,1499,1163,1497,1123,1488,1097,1462,1165,1459,1195,1462,1222,1460,1281,1461,1223,1462,1195,1465,1166,1463
10,h,1,1,938,1057,1473,1592,0.3333333333333333,914,1198,910,1271,911,1345,917,1418,938,1486,977,1543,1035,1587,1103,1619,1176,1633,1249,1624,1310,1594,1361,1552,1401,1496,1427,1431,1443,1360,1453,1290,1456,1219,978,1141,1015,1107,1067,1096,1121,1102,1171,1125,1234,1129,1283,1113,1338,1108,1389,1122,1424,1159,1200,1187,1199,1231,1198,1274,1198,1319,1129,1363,1160,1373,1195,1381,1228,1374,1260,1366,1030,1183,1062,1168,1095,1170,1123,1196,1090,1196,1057,1193,1274,1202,1302,1179,1334,1179,1363,1197,1335,1206,1303,1205,1078,1463,1121,1443,1164,1432,1193,1441,1220,1433,1259,1445,1301,1464,1258,1487,1220,1497,1192,1500,1161,1497,1120,1488,1095,1462,1162,1460,1192,1464,1219,1460,1284,1462,1220,1463,1193,1466,1164,1463
